id,move_name,move_type,category,base_power
84,thunder-shock,electric,special,40
85,thunderbolt,electric,special,90
86,thunder-wave,electric,status,
87,thunder,electric,special,110
88,rock-throw,rock,physical,50
89,earthquake,ground,physical,100
90,fissure,ground,physical,
91,dig,ground,physical,80
92,toxic,poison,status,
93,confusion,psychic,special,50
94,psychic,psychic,special,90
95,hypnosis,psychic,status,
96,meditate,psychic,status,
97,agility,psychic,status,
98,quick-attack,normal,physical,40
99,rage,normal,physical,20
100,teleport,psychic,status,
101,night-shade,ghost,special,
102,mimic,normal,status,
103,screech,normal,status,
104,double-team,normal,status,
105,recover,normal,status,
106,harden,normal,status,
107,minimize,normal,status,
108,smokescreen,normal,status,
109,confuse-ray,ghost,status,
110,withdraw,water,status,
111,defense-curl,normal,status,
112,barrier,psychic,status,
113,light-screen,psychic,status,
114,haze,ice,status,
115,reflect,psychic,status,
116,focus-energy,normal,status,
117,bide,normal,physical,
118,metronome,normal,status,
119,mirror-move,flying,status,
120,self-destruct,normal,physical,200
121,egg-bomb,normal,physical,100
122,lick,ghost,physical,30
123,smog,poison,special,30
124,sludge,poison,special,65
125,bone-club,ground,physical,65
126,fire-blast,fire,special,110
127,waterfall,water,physical,80
128,clamp,water,physical,35
129,swift,normal,special,60
130,skull-bash,normal,physical,130
131,spike-cannon,normal,physical,20
132,constrict,normal,physical,10
133,amnesia,psychic,status,
134,kinesis,psychic,status,
135,soft-boiled,normal,status,
136,high-jump-kick,fighting,physical,130
137,glare,normal,status,
138,dream-eater,psychic,special,100
139,poison-gas,poison,status,
140,barrage,normal,physical,15
141,leech-life,bug,physical,80
142,lovely-kiss,normal,status,
143,sky-attack,flying,physical,140
144,transform,normal,status,
145,bubble,water,special,40
146,dizzy-punch,normal,physical,70
147,spore,grass,status,
148,flash,normal,status,
149,psywave,psychic,special,
150,splash,normal,status,
151,acid-armor,poison,status,
152,crabhammer,water,physical,100
153,explosion,normal,physical,250
154,fury-swipes,normal,physical,18
155,bonemerang,ground,physical,50
156,rest,psychic,status,
157,rock-slide,rock,physical,75
158,hyper-fang,normal,physical,80
159,sharpen,normal,status,
160,conversion,normal,status,
161,tri-attack,normal,special,80
162,super-fang,normal,physical,
163,slash,normal,physical,70
164,substitute,normal,status,
165,struggle,normal,physical,50
166,sketch,normal,status,
167,triple-kick,fighting,physical,10
168,thief,dark,physical,60
169,spider-web,bug,status,
170,mind-reader,normal,status,
171,nightmare,ghost,status,
172,flame-wheel,fire,physical,60
173,snore,normal,special,50
174,curse,ghost,status,
175,flail,normal,physical,
176,conversion-2,normal,status,
177,aeroblast,flying,special,100
178,cotton-spore,grass,status,
179,reversal,fighting,physical,
180,spite,ghost,status,
181,powder-snow,ice,special,40
182,protect,normal,status,
183,mach-punch,fighting,physical,40
184,scary-face,normal,status,
185,feint-attack,dark,physical,60
186,sweet-kiss,fairy,status,
187,belly-drum,normal,status,
188,sludge-bomb,poison,special,90
189,mud-slap,ground,special,20
190,octazooka,water,special,65
191,spikes,ground,status,
192,zap-cannon,electric,special,120
193,foresight,normal,status,
194,destiny-bond,ghost,status,
195,perish-song,normal,status,
196,icy-wind,ice,special,55
197,detect,fighting,status,
198,bone-rush,ground,physical,25
199,lock-on,normal,status,
200,outrage,dragon,physical,120
201,sandstorm,rock,status,
202,giga-drain,grass,special,75
203,endure,normal,status,
204,charm,fairy,status,
205,rollout,rock,physical,30
206,false-swipe,normal,physical,40
207,swagger,normal,status,
208,milk-drink,normal,status,
209,spark,electric,physical,65
210,fury-cutter,bug,physical,40
211,steel-wing,steel,physical,70
212,mean-look,normal,status,
213,attract,normal,status,
214,sleep-talk,normal,status,
215,heal-bell,normal,status,
216,return,normal,physical,
217,present,normal,physical,
218,frustration,normal,physical,
219,safeguard,normal,status,
220,pain-split,normal,status,
221,sacred-fire,fire,physical,100
222,magnitude,ground,physical,
223,dynamic-punch,fighting,physical,100
224,megahorn,bug,physical,120
225,dragon-breath,dragon,special,60
226,baton-pass,normal,status,
227,encore,normal,status,
228,pursuit,dark,physical,40
229,rapid-spin,normal,physical,50
230,sweet-scent,normal,status,
231,iron-tail,steel,physical,100
232,metal-claw,steel,physical,50
233,vital-throw,fighting,physical,70
234,morning-sun,normal,status,
235,synthesis,grass,status,
236,moonlight,fairy,status,
237,hidden-power,normal,special,60
238,cross-chop,fighting,physical,100
239,twister,dragon,special,40
240,rain-dance,water,status,
241,sunny-day,fire,status,
242,crunch,dark,physical,80
243,mirror-coat,psychic,special,
244,psych-up,normal,status,
245,extreme-speed,normal,physical,80
246,ancient-power,rock,special,60
247,shadow-ball,ghost,special,80
248,future-sight,psychic,special,120
249,rock-smash,fighting,physical,40
250,whirlpool,water,special,35
251,beat-up,dark,physical,
252,fake-out,normal,physical,40
253,uproar,normal,special,90
254,stockpile,normal,status,
255,spit-up,normal,special,
256,swallow,normal,status,
257,heat-wave,fire,special,95
258,hail,ice,status,
259,torment,dark,status,
260,flatter,dark,status,
261,will-o-wisp,fire,status,
262,memento,dark,status,
263,facade,normal,physical,70
264,focus-punch,fighting,physical,150
265,smelling-salts,normal,physical,70
266,follow-me,normal,status,
267,nature-power,normal,status,
268,charge,electric,status,
269,taunt,dark,status,
270,helping-hand,normal,status,
271,trick,psychic,status,
272,role-play,psychic,status,
273,wish,normal,status,
274,assist,normal,status,
275,ingrain,grass,status,
276,superpower,fighting,physical,120
277,magic-coat,psychic,status,
278,recycle,normal,status,
279,revenge,fighting,physical,60
280,brick-break,fighting,physical,75
281,yawn,normal,status,
282,knock-off,dark,physical,65
283,endeavor,normal,physical,
284,eruption,fire,special,150
285,skill-swap,psychic,status,
286,imprison,psychic,status,
287,refresh,normal,status,
288,grudge,ghost,status,
289,snatch,dark,status,
290,secret-power,normal,physical,70
291,dive,water,physical,80
292,arm-thrust,fighting,physical,15
293,camouflage,normal,status,
294,tail-glow,bug,status,
295,luster-purge,psychic,special,95
296,mist-ball,psychic,special,95
297,feather-dance,flying,status,
298,teeter-dance,normal,status,
299,blaze-kick,fire,physical,85
300,mud-sport,ground,status,
301,ice-ball,ice,physical,30
302,needle-arm,grass,physical,60
303,slack-off,normal,status,
304,hyper-voice,normal,special,90
305,poison-fang,poison,physical,50
306,crush-claw,normal,physical,75
307,blast-burn,fire,special,150
308,hydro-cannon,water,special,150
309,meteor-mash,steel,physical,90
310,astonish,ghost,physical,30
311,weather-ball,normal,special,50
312,aromatherapy,grass,status,
313,fake-tears,dark,status,
314,air-cutter,flying,special,60
315,overheat,fire,special,130
316,odor-sleuth,normal,status,
317,rock-tomb,rock,physical,60
318,silver-wind,bug,special,60
319,metal-sound,steel,status,
320,grass-whistle,grass,status,
321,tickle,normal,status,
322,cosmic-power,psychic,status,
323,water-spout,water,special,150
324,signal-beam,bug,special,75
325,shadow-punch,ghost,physical,60
326,extrasensory,psychic,special,80
327,sky-uppercut,fighting,physical,85
328,sand-tomb,ground,physical,35
329,sheer-cold,ice,special,
330,muddy-water,water,special,90
331,bullet-seed,grass,physical,25
332,aerial-ace,flying,physical,60
333,icicle-spear,ice,physical,25
334,iron-defense,steel,status,
335,block,normal,status,
336,howl,normal,status,
337,dragon-claw,dragon,physical,80
338,frenzy-plant,grass,special,150
339,bulk-up,fighting,status,
340,bounce,flying,physical,85
341,mud-shot,ground,special,55
342,poison-tail,poison,physical,50
343,covet,normal,physical,60
344,volt-tackle,electric,physical,120
345,magical-leaf,grass,special,60
346,water-sport,water,status,
347,calm-mind,psychic,status,
348,leaf-blade,grass,physical,90
349,dragon-dance,dragon,status,
350,rock-blast,rock,physical,25
351,shock-wave,electric,special,60
352,water-pulse,water,special,60
353,doom-desire,steel,special,140
354,psycho-boost,psychic,special,140
355,roost,flying,status,
356,gravity,psychic,status,
357,miracle-eye,psychic,status,
358,wake-up-slap,fighting,physical,70
359,hammer-arm,fighting,physical,100
360,gyro-ball,steel,physical,
361,healing-wish,psychic,status,
362,brine,water,special,65
363,natural-gift,normal,physical,
364,feint,normal,physical,30
365,pluck,flying,physical,60
366,tailwind,flying,status,
367,acupressure,normal,status,
368,metal-burst,steel,physical,
369,u-turn,bug,physical,70
370,close-combat,fighting,physical,120
371,payback,dark,physical,50
372,assurance,dark,physical,60
373,embargo,dark,status,
374,fling,dark,physical,
375,psycho-shift,psychic,status,
376,trump-card,normal,special,
377,heal-block,psychic,status,
378,wring-out,normal,special,
379,power-trick,psychic,status,
380,gastro-acid,poison,status,
381,lucky-chant,normal,status,
382,me-first,normal,status,
383,copycat,normal,status,
384,power-swap,psychic,status,
385,guard-swap,psychic,status,
386,punishment,dark,physical,
387,last-resort,normal,physical,140
388,worry-seed,grass,status,
389,sucker-punch,dark,physical,70
390,toxic-spikes,poison,status,
391,heart-swap,psychic,status,
392,aqua-ring,water,status,
393,magnet-rise,electric,status,
394,flare-blitz,fire,physical,120
395,force-palm,fighting,physical,60
396,aura-sphere,fighting,special,80
397,rock-polish,rock,status,
398,poison-jab,poison,physical,80
399,dark-pulse,dark,special,80
400,night-slash,dark,physical,70
401,aqua-tail,water,physical,90
402,seed-bomb,grass,physical,80
403,air-slash,flying,special,75
404,x-scissor,bug,physical,80
405,bug-buzz,bug,special,90
406,dragon-pulse,dragon,special,85
407,dragon-rush,dragon,physical,100
408,power-gem,rock,special,80
409,drain-punch,fighting,physical,75
410,vacuum-wave,fighting,special,40
411,focus-blast,fighting,special,120
412,energy-ball,grass,special,90
413,brave-bird,flying,physical,120
414,earth-power,ground,special,90
415,switcheroo,dark,status,
416,giga-impact,normal,physical,150
417,nasty-plot,dark,status,
418,bullet-punch,steel,physical,40
419,avalanche,ice,physical,60
420,ice-shard,ice,physical,40
421,shadow-claw,ghost,physical,70
422,thunder-fang,electric,physical,65
423,ice-fang,ice,physical,65
424,fire-fang,fire,physical,65
425,shadow-sneak,ghost,physical,40
426,mud-bomb,ground,special,65
427,psycho-cut,psychic,physical,70
428,zen-headbutt,psychic,physical,80
429,mirror-shot,steel,special,65
430,flash-cannon,steel,special,80
431,rock-climb,normal,physical,90
432,defog,flying,status,
433,trick-room,psychic,status,
434,draco-meteor,dragon,special,130
435,discharge,electric,special,80
436,lava-plume,fire,special,80
437,leaf-storm,grass,special,130
438,power-whip,grass,physical,120
439,rock-wrecker,rock,physical,150
440,cross-poison,poison,physical,70
441,gunk-shot,poison,physical,120
442,iron-head,steel,physical,80
443,magnet-bomb,steel,physical,60
444,stone-edge,rock,physical,100
445,captivate,normal,status,
446,stealth-rock,rock,status,
447,grass-knot,grass,special,
448,chatter,flying,special,65
449,judgment,normal,special,100
450,bug-bite,bug,physical,60
451,charge-beam,electric,special,50
452,wood-hammer,grass,physical,120
453,aqua-jet,water,physical,40
454,attack-order,bug,physical,90
455,defend-order,bug,status,
456,heal-order,bug,status,
457,head-smash,rock,physical,150
458,double-hit,normal,physical,35
459,roar-of-time,dragon,special,150
460,spacial-rend,dragon,special,100
461,lunar-dance,psychic,status,
462,crush-grip,normal,physical,
463,magma-storm,fire,special,100
464,dark-void,dark,status,
465,seed-flare,grass,special,120
466,ominous-wind,ghost,special,60
467,shadow-force,ghost,physical,120
468,hone-claws,dark,status,
469,wide-guard,rock,status,
470,guard-split,psychic,status,
471,power-split,psychic,status,
472,wonder-room,psychic,status,
473,psyshock,psychic,special,80
474,venoshock,poison,special,65
475,autotomize,steel,status,
476,rage-powder,bug,status,
477,telekinesis,psychic,status,
478,magic-room,psychic,status,
479,smack-down,rock,physical,50
480,storm-throw,fighting,physical,60
481,flame-burst,fire,special,70
482,sludge-wave,poison,special,95
483,quiver-dance,bug,status,
484,heavy-slam,steel,physical,
485,synchronoise,psychic,special,120
486,electro-ball,electric,special,
487,soak,water,status,
488,flame-charge,fire,physical,50
489,coil,poison,status,
490,low-sweep,fighting,physical,65
491,acid-spray,poison,special,40
492,foul-play,dark,physical,95
493,simple-beam,normal,status,
494,entrainment,normal,status,
495,after-you,normal,status,
496,round,normal,special,60
497,echoed-voice,normal,special,40
498,chip-away,normal,physical,70
499,clear-smog,poison,special,50
500,stored-power,psychic,special,20
501,quick-guard,fighting,status,
502,ally-switch,psychic,status,
503,scald,water,special,80
504,shell-smash,normal,status,
505,heal-pulse,psychic,status,
506,hex,ghost,special,65
507,sky-drop,flying,physical,60
508,shift-gear,steel,status,
509,circle-throw,fighting,physical,60
510,incinerate,fire,special,60
511,quash,dark,status,
512,acrobatics,flying,physical,55
513,reflect-type,normal,status,
514,retaliate,normal,physical,70
515,final-gambit,fighting,special,
516,bestow,normal,status,
517,inferno,fire,special,100
518,water-pledge,water,special,80
519,fire-pledge,fire,special,80
520,grass-pledge,grass,special,80
521,volt-switch,electric,special,70
522,struggle-bug,bug,special,50
523,bulldoze,ground,physical,60
524,frost-breath,ice,special,60
525,dragon-tail,dragon,physical,60
526,work-up,normal,status,
527,electroweb,electric,special,55
528,wild-charge,electric,physical,90
529,drill-run,ground,physical,80
530,dual-chop,dragon,physical,40
531,heart-stamp,psychic,physical,60
532,horn-leech,grass,physical,75
533,sacred-sword,fighting,physical,90
534,razor-shell,water,physical,75
535,heat-crash,fire,physical,
536,leaf-tornado,grass,special,65
537,steamroller,bug,physical,65
538,cotton-guard,grass,status,
539,night-daze,dark,special,85
540,psystrike,psychic,special,100
541,tail-slap,normal,physical,25
542,hurricane,flying,special,110
543,head-charge,normal,physical,120
544,gear-grind,steel,physical,50
545,searing-shot,fire,special,100
546,techno-blast,normal,special,120
547,relic-song,normal,special,75
548,secret-sword,fighting,special,85
549,glaciate,ice,special,65
550,bolt-strike,electric,physical,130
551,blue-flare,fire,special,130
552,fiery-dance,fire,special,80
553,freeze-shock,ice,physical,140
554,ice-burn,ice,special,140
555,snarl,dark,special,55
556,icicle-crash,ice,physical,85
557,v-create,fire,physical,180
558,fusion-flare,fire,special,100
559,fusion-bolt,electric,physical,100
560,flying-press,fighting,physical,100
561,mat-block,fighting,status,
562,belch,poison,special,120
563,rototiller,ground,status,
564,sticky-web,bug,status,
565,fell-stinger,bug,physical,50
566,phantom-force,ghost,physical,90
567,trick-or-treat,ghost,status,
568,noble-roar,normal,status,
569,ion-deluge,electric,status,
570,parabolic-charge,electric,special,65
571,forests-curse,grass,status,
572,petal-blizzard,grass,physical,90
573,freeze-dry,ice,special,70
574,disarming-voice,fairy,special,40
575,parting-shot,dark,status,
576,topsy-turvy,dark,status,
577,draining-kiss,fairy,special,50
578,crafty-shield,fairy,status,
579,flower-shield,fairy,status,
580,grassy-terrain,grass,status,
581,misty-terrain,fairy,status,
582,electrify,electric,status,
583,play-rough,fairy,physical,90
584,fairy-wind,fairy,special,40
585,moonblast,fairy,special,95
586,boomburst,normal,special,140
587,fairy-lock,fairy,status,
588,kings-shield,steel,status,
589,play-nice,normal,status,
590,confide,normal,status,
591,diamond-storm,rock,physical,100
592,steam-eruption,water,special,110
593,hyperspace-hole,psychic,special,80
594,water-shuriken,water,special,15
595,mystical-fire,fire,special,75
596,spiky-shield,grass,status,
597,aromatic-mist,fairy,status,
598,eerie-impulse,electric,status,
599,venom-drench,poison,status,
600,powder,bug,status,
601,geomancy,fairy,status,
602,magnetic-flux,electric,status,
603,happy-hour,normal,status,
604,electric-terrain,electric,status,
605,dazzling-gleam,fairy,special,80
606,celebrate,normal,status,
607,hold-hands,normal,status,
608,baby-doll-eyes,fairy,status,
609,nuzzle,electric,physical,20
610,hold-back,normal,physical,40
611,infestation,bug,special,20
612,power-up-punch,fighting,physical,40
613,oblivion-wing,flying,special,80
614,thousand-arrows,ground,physical,90
615,thousand-waves,ground,physical,90
616,lands-wrath,ground,physical,90
617,light-of-ruin,fairy,special,140
618,origin-pulse,water,special,110
619,precipice-blades,ground,physical,120
620,dragon-ascent,flying,physical,120
621,hyperspace-fury,dark,physical,100
622,breakneck-blitz--physical,normal,physical,
623,breakneck-blitz--special,normal,special,
624,all-out-pummeling--physical,fighting,physical,
625,all-out-pummeling--special,fighting,special,
626,supersonic-skystrike--physical,flying,physical,
627,supersonic-skystrike--special,flying,special,
628,acid-downpour--physical,poison,physical,
629,acid-downpour--special,poison,special,
630,tectonic-rage--physical,ground,physical,
631,tectonic-rage--special,ground,special,
632,continental-crush--physical,rock,physical,
633,continental-crush--special,rock,special,
634,savage-spin-out--physical,bug,physical,
635,savage-spin-out--special,bug,special,
636,never-ending-nightmare--physical,ghost,physical,
637,never-ending-nightmare--special,ghost,special,
638,corkscrew-crash--physical,steel,physical,
639,corkscrew-crash--special,steel,special,
640,inferno-overdrive--physical,fire,physical,
641,inferno-overdrive--special,fire,special,
642,hydro-vortex--physical,water,physical,
643,hydro-vortex--special,water,special,
644,bloom-doom--physical,grass,physical,
645,bloom-doom--special,grass,special,
646,gigavolt-havoc--physical,electric,physical,
647,gigavolt-havoc--special,electric,special,
648,shattered-psyche--physical,psychic,physical,
649,shattered-psyche--special,psychic,special,
650,subzero-slammer--physical,ice,physical,
651,subzero-slammer--special,ice,special,
652,devastating-drake--physical,dragon,physical,
653,devastating-drake--special,dragon,special,
654,black-hole-eclipse--physical,dark,physical,
655,black-hole-eclipse--special,dark,special,
656,twinkle-tackle--physical,fairy,physical,
657,twinkle-tackle--special,fairy,special,
658,catastropika,electric,physical,210
659,shore-up,ground,status,
660,first-impression,bug,physical,90
661,baneful-bunker,poison,status,
662,spirit-shackle,ghost,physical,80
663,darkest-lariat,dark,physical,85
664,sparkling-aria,water,special,90
665,ice-hammer,ice,physical,100
666,floral-healing,fairy,status,
667,high-horsepower,ground,physical,95
668,strength-sap,grass,status,
669,solar-blade,grass,physical,125
670,leafage,grass,physical,40
671,spotlight,normal,status,
672,toxic-thread,poison,status,
673,laser-focus,normal,status,
674,gear-up,steel,status,
675,throat-chop,dark,physical,80
676,pollen-puff,bug,special,90
677,anchor-shot,steel,physical,80
678,psychic-terrain,psychic,status,
679,lunge,bug,physical,80
680,fire-lash,fire,physical,80
681,power-trip,dark,physical,20
682,burn-up,fire,special,130
683,speed-swap,psychic,status,
684,smart-strike,steel,physical,70
685,purify,poison,status,
686,revelation-dance,normal,special,90
687,core-enforcer,dragon,special,100
688,trop-kick,grass,physical,70
689,instruct,psychic,status,
690,beak-blast,flying,physical,100
691,clanging-scales,dragon,special,110
692,dragon-hammer,dragon,physical,90
693,brutal-swing,dark,physical,60
694,aurora-veil,ice,status,
695,sinister-arrow-raid,ghost,physical,180
696,malicious-moonsault,dark,physical,180
697,oceanic-operetta,water,special,195
698,guardian-of-alola,fairy,special,
699,soul-stealing-7-star-strike,ghost,physical,195
700,stoked-sparksurfer,electric,special,175
701,pulverizing-pancake,normal,physical,210
702,extreme-evoboost,normal,status,
703,genesis-supernova,psychic,special,185
704,shell-trap,fire,special,150
705,fleur-cannon,fairy,special,130
706,psychic-fangs,psychic,physical,85
707,stomping-tantrum,ground,physical,75
708,shadow-bone,ghost,physical,85
709,accelerock,rock,physical,40
710,liquidation,water,physical,85
711,prismatic-laser,psychic,special,160
712,spectral-thief,ghost,physical,90
713,sunsteel-strike,steel,physical,100
714,moongeist-beam,ghost,special,100
715,tearful-look,normal,status,
716,zing-zap,electric,physical,80
717,natures-madness,fairy,special,
718,multi-attack,normal,physical,120
719,10-000-000-volt-thunderbolt,electric,special,195
720,mind-blown,fire,special,150
721,plasma-fists,electric,physical,100
722,photon-geyser,psychic,special,100
723,light-that-burns-the-sky,psychic,special,200
724,searing-sunraze-smash,steel,physical,200
725,menacing-moonraze-maelstrom,ghost,special,200
726,lets-snuggle-forever,fairy,physical,190
727,splintered-stormshards,rock,physical,190
728,clangorous-soulblaze,dragon,special,185
729,zippy-zap,electric,physical,80
730,splishy-splash,water,special,90
731,floaty-fall,flying,physical,90
732,pika-papow,electric,special,
733,bouncy-bubble,water,special,60
734,buzzy-buzz,electric,special,60
735,sizzly-slide,fire,physical,60
736,glitzy-glow,psychic,special,80
737,baddy-bad,dark,special,80
738,sappy-seed,grass,physical,100
739,freezy-frost,ice,special,100
740,sparkly-swirl,fairy,special,120
741,veevee-volley,normal,physical,
742,double-iron-bash,steel,physical,60
743,max-guard,normal,status,
744,dynamax-cannon,dragon,special,100
745,snipe-shot,water,special,80
746,jaw-lock,dark,physical,80
747,stuff-cheeks,normal,status,
748,no-retreat,fighting,status,
749,tar-shot,rock,status,
750,magic-powder,psychic,status,
751,dragon-darts,dragon,physical,50
752,teatime,normal,status,
753,octolock,fighting,status,
754,bolt-beak,electric,physical,85
755,fishious-rend,water,physical,85
756,court-change,normal,status,
757,max-flare,fire,physical,100
758,max-flutterby,bug,physical,10
759,max-lightning,electric,physical,10
760,max-strike,normal,physical,10
761,max-knuckle,fighting,physical,10
762,max-phantasm,ghost,physical,10
763,max-hailstorm,ice,physical,10
764,max-ooze,poison,physical,10
765,max-geyser,water,physical,10
766,max-airstream,flying,physical,10
767,max-starfall,fairy,physical,10
768,max-wyrmwind,dragon,physical,10
769,max-mindstorm,psychic,physical,10
770,max-rockfall,rock,physical,10
771,max-quake,ground,physical,10
772,max-darkness,dark,physical,10
773,max-overgrowth,grass,physical,10
774,max-steelspike,steel,physical,10
775,clangorous-soul,dragon,status,
776,body-press,fighting,physical,80
777,decorate,fairy,status,
778,drum-beating,grass,physical,80
779,snap-trap,grass,physical,35
780,pyro-ball,fire,physical,120
781,behemoth-blade,steel,physical,100
782,behemoth-bash,steel,physical,100
783,aura-wheel,electric,physical,110
784,breaking-swipe,dragon,physical,60
785,branch-poke,grass,physical,40
786,overdrive,electric,special,80
787,apple-acid,grass,special,80
788,grav-apple,grass,physical,80
789,spirit-break,fairy,physical,75
790,strange-steam,fairy,special,90
791,life-dew,water,status,
792,obstruct,dark,status,
793,false-surrender,dark,physical,80
794,meteor-assault,fighting,physical,150
795,eternabeam,dragon,special,160
796,steel-beam,steel,special,140
797,expanding-force,psychic,special,80
798,steel-roller,steel,physical,130
799,scale-shot,dragon,physical,25
800,meteor-beam,rock,special,120
801,shell-side-arm,poison,special,90
802,misty-explosion,fairy,special,100
803,grassy-glide,grass,physical,55
804,rising-voltage,electric,special,70
805,terrain-pulse,normal,special,50
806,skitter-smack,bug,physical,70
807,burning-jealousy,fire,special,70
808,lash-out,dark,physical,75
809,poltergeist,ghost,physical,110
810,corrosive-gas,poison,status,
811,coaching,fighting,status,
812,flip-turn,water,physical,60
813,triple-axel,ice,physical,20
814,dual-wingbeat,flying,physical,40
815,scorching-sands,ground,special,70
816,jungle-healing,grass,status,
817,wicked-blow,dark,physical,75
818,surging-strikes,water,physical,25
819,thunder-cage,electric,special,80
820,dragon-energy,dragon,special,150
821,freezing-glare,psychic,special,90
822,fiery-wrath,dark,special,90
823,thunderous-kick,fighting,physical,90
824,glacial-lance,ice,physical,120
825,astral-barrage,ghost,special,120
826,eerie-spell,psychic,special,80
827,dire-claw,poison,physical,80
828,psyshield-bash,psychic,physical,70
829,power-shift,normal,status,0
830,stone-axe,rock,physical,65
831,springtide-storm,fairy,special,100
832,mystical-power,psychic,special,70
833,raging-fury,fire,physical,120
834,wave-crash,water,physical,120
835,chloroblast,grass,special,150
836,mountain-gale,ice,physical,100
837,victory-dance,fighting,status,0
838,headlong-rush,ground,physical,120
839,barb-barrage,poison,physical,60
840,esper-wing,psychic,special,80
841,bitter-malice,ghost,special,75
842,shelter,steel,status,0
843,triple-arrows,fighting,physical,90
844,infernal-parade,ghost,special,60
845,ceaseless-edge,dark,physical,65
846,bleakwind-storm,flying,special,100
847,wildbolt-storm,electric,special,100
848,sandsear-storm,ground,special,100
849,lunar-blessing,psychic,status,0
850,take-heart,psychic,status,0
851,tera-blast,normal,special,80
852,silk-trap,bug,status,0
853,axe-kick,fighting,physical,120
854,last-respects,ghost,physical,50
855,lumina-crash,psychic,special,80
856,order-up,dragon,physical,80
857,jet-punch,water,physical,60
858,spicy-extract,grass,status,0
859,spin-out,steel,physical,100
860,population-bomb,normal,physical,20
861,ice-spinner,ice,physical,80
862,glaive-rush,dragon,physical,120
863,revival-blessing,normal,status,0
864,salt-cure,rock,physical,40
865,triple-dive,water,physical,30
866,mortal-spin,poison,physical,30
867,doodle,normal,status,0
868,fillet-away,normal,status,0
869,kowtow-cleave,dark,physical,85
870,flower-trick,grass,physical,70
871,torch-song,fire,special,80
872,aqua-step,water,physical,80
873,raging-bull,normal,physical,90
874,make-it-rain,steel,special,120
875,psyblade,psychic,physical,80
876,hydro-steam,water,special,80
877,ruination,dark,special,1
878,collision-course,fighting,physical,100
879,electro-drift,electric,special,100
880,shed-tail,normal,status,0
881,chilly-reception,ice,status,0
882,tidy-up,normal,status,0
883,snowscape,ice,status,0
884,pounce,bug,physical,50
885,trailblaze,grass,physical,50
886,chilling-water,water,special,50
887,hyper-drill,normal,physical,100
888,twin-beam,psychic,special,40
889,rage-fist,ghost,physical,50
890,armor-cannon,fire,special,120
891,bitter-blade,fire,physical,90
892,double-shock,electric,physical,120
893,gigaton-hammer,steel,physical,160
894,comeuppance,dark,physical,1
895,aqua-cutter,water,physical,70
896,blazing-torque,fire,physical,80
897,wicked-torque,dark,physical,80
898,noxious-torque,poison,physical,100
899,combat-torque,fighting,physical,100
900,magical-torque,fairy,physical,100
901,blood-moon,normal,special,140
902,matcha-gotcha,grass,special,80
903,syrup-bomb,grass,special,60
904,ivy-cudgel,grass,physical,100
905,electro-shot,electric,special,130
906,tera-starstorm,normal,special,120
907,fickle-beam,dragon,special,80
908,burning-bulwark,fire,status,0
909,thunderclap,electric,special,70
910,mighty-cleave,rock,physical,95
