id,name,type1,type2,hp,attack,defense,special_attack,special_defense,speed,bst
49,venomoth,bug,poison,70,65,60,90,75,90,450
50,diglett,ground,,10,55,25,35,45,95,265
51,dugtrio,ground,,35,100,50,50,70,120,425
52,meowth,normal,,40,45,35,40,40,90,290
53,persian,normal,,65,70,60,65,65,115,440
54,psyduck,water,,50,52,48,65,50,55,320
55,golduck,water,,80,82,78,95,80,85,500
56,mankey,fighting,,40,80,35,35,45,70,305
57,primeape,fighting,,65,105,60,60,70,95,455
58,growlithe,fire,,55,70,45,70,50,60,350
59,arcanine,fire,,90,110,80,100,80,95,555
60,poliwag,water,,40,50,40,40,40,90,300
61,poliwhirl,water,,65,65,65,50,50,90,385
62,poliwrath,water,fighting,90,95,95,70,90,70,510
63,abra,psychic,,25,20,15,105,55,90,310
64,kadabra,psychic,,40,35,30,120,70,105,400
65,alakazam,psychic,,55,50,45,135,95,120,500
66,machop,fighting,,70,80,50,35,35,35,305
67,machoke,fighting,,80,100,70,50,60,45,405
68,machamp,fighting,,90,130,80,65,85,55,505
69,bellsprout,grass,poison,50,75,35,70,30,40,300
70,weepinbell,grass,poison,65,90,50,85,45,55,390
71,victreebel,grass,poison,80,105,65,100,70,70,490
72,tentacool,water,poison,40,40,35,50,100,70,335
73,tentacruel,water,poison,80,70,65,80,120,100,515
74,geodude,rock,ground,40,80,100,30,30,20,300
75,graveler,rock,ground,55,95,115,45,45,35,390
76,golem,rock,ground,80,120,130,55,65,45,495
77,ponyta,fire,,50,85,55,65,65,90,410
78,rapidash,fire,,65,100,70,80,80,105,500
79,slowpoke,water,psychic,90,65,65,40,40,15,315
80,slowbro,water,psychic,95,75,110,100,80,30,490
81,magnemite,electric,steel,25,35,70,95,55,45,325
82,magneton,electric,steel,50,60,95,120,70,70,465
83,farfetchd,normal,flying,52,90,55,58,62,60,377
84,doduo,normal,flying,35,85,45,35,35,75,310
85,dodrio,normal,flying,60,110,70,60,60,110,470
86,seel,water,,65,45,55,45,70,45,325
87,dewgong,water,ice,90,70,80,70,95,70,475
88,grimer,poison,,80,80,50,40,50,25,325
89,muk,poison,,105,105,75,65,100,50,500
90,shellder,water,,30,65,100,45,25,40,305
91,cloyster,water,ice,50,95,180,85,45,70,525
92,gastly,ghost,poison,30,35,30,100,35,80,310
93,haunter,ghost,poison,45,50,45,115,55,95,405
94,gengar,ghost,poison,60,65,60,130,75,110,500
95,onix,rock,ground,35,45,160,30,45,70,385
96,drowzee,psychic,,60,48,45,43,90,42,328
97,hypno,psychic,,85,73,70,73,115,67,483
98,krabby,water,,30,105,90,25,25,50,325
99,kingler,water,,55,130,115,50,50,75,475
100,voltorb,electric,,40,30,50,55,55,100,330
101,electrode,electric,,60,50,70,80,80,150,490
102,exeggcute,grass,psychic,60,40,80,60,45,40,325
103,exeggutor,grass,psychic,95,95,85,125,75,55,530
104,cubone,ground,,50,50,95,40,50,35,320
105,marowak,ground,,60,80,110,50,80,45,425
106,hitmonlee,fighting,,50,120,53,35,110,87,455
107,hitmonchan,fighting,,50,105,79,35,110,76,455
108,lickitung,normal,,90,55,75,60,75,30,385
109,koffing,poison,,40,65,95,60,45,35,340
110,weezing,poison,,65,90,120,85,70,60,490
111,rhyhorn,ground,rock,80,85,95,30,30,25,345
112,rhydon,ground,rock,105,130,120,45,45,40,485
113,chansey,normal,,250,5,5,35,105,50,450
114,tangela,grass,,65,55,115,100,40,60,435
115,kangaskhan,normal,,105,95,80,40,80,90,490
116,horsea,water,,30,40,70,70,25,60,295
117,seadra,water,,55,65,95,95,45,85,440
118,goldeen,water,,45,67,60,35,50,63,320
119,seaking,water,,80,92,65,65,80,68,450
120,staryu,water,,30,45,55,70,55,85,340
121,starmie,water,psychic,60,75,85,100,85,115,520
122,mr-mime,psychic,fairy,40,45,65,100,120,90,460
123,scyther,bug,flying,70,110,80,55,80,105,500
124,jynx,ice,psychic,65,50,35,115,95,95,455
125,electabuzz,electric,,65,83,57,95,85,105,490
126,magmar,fire,,65,95,57,100,85,93,495
127,pinsir,bug,,65,125,100,55,70,85,500
128,tauros,normal,,75,100,95,40,70,110,490
129,magikarp,water,,20,10,55,15,20,80,200
130,gyarados,water,flying,95,125,79,60,100,81,540
131,lapras,water,ice,130,85,80,85,95,60,535
132,ditto,normal,,48,48,48,48,48,48,288
133,eevee,normal,,55,55,50,45,65,55,325
134,vaporeon,water,,130,65,60,110,95,65,525
135,jolteon,electric,,65,65,60,110,95,130,525
136,flareon,fire,,65,130,60,95,110,65,525
137,porygon,normal,,65,60,70,85,75,40,395
138,omanyte,rock,water,35,40,100,90,55,35,355
139,omastar,rock,water,70,60,125,115,70,55,495
140,kabuto,rock,water,30,80,90,55,45,55,355
141,kabutops,rock,water,60,115,105,65,70,80,495
142,aerodactyl,rock,flying,80,105,65,60,75,130,515
143,snorlax,normal,,160,110,65,65,110,30,540
144,articuno,ice,flying,90,85,100,95,125,85,580
145,zapdos,electric,flying,90,90,85,125,90,100,580
146,moltres,fire,flying,90,100,90,125,85,90,580
147,dratini,dragon,,41,64,45,50,50,50,300
148,dragonair,dragon,,61,84,65,70,70,70,420
149,dragonite,dragon,flying,91,134,95,100,100,80,600
150,mewtwo,psychic,,106,110,90,154,90,130,680
151,mew,psychic,,100,100,100,100,100,100,600
152,chikorita,grass,,45,49,65,49,65,45,318
153,bayleef,grass,,60,62,80,63,80,60,405
154,meganium,grass,,80,82,100,83,100,80,525
155,cyndaquil,fire,,39,52,43,60,50,65,309
156,quilava,fire,,58,64,58,80,65,80,405
157,typhlosion,fire,,78,84,78,109,85,100,534
158,totodile,water,,50,65,64,44,48,43,314
159,croconaw,water,,65,80,80,59,63,58,405
160,feraligatr,water,,85,105,100,79,83,78,530
161,sentret,normal,,35,46,34,35,45,20,215
162,furret,normal,,85,76,64,45,55,90,415
163,hoothoot,normal,flying,60,30,30,36,56,50,262
164,noctowl,normal,flying,100,50,50,86,96,70,452
165,ledyba,bug,flying,40,20,30,40,80,55,265
166,ledian,bug,flying,55,35,50,55,110,85,390
167,spinarak,bug,poison,40,60,40,40,40,30,250
168,ariados,bug,poison,70,90,70,60,70,40,400
169,crobat,poison,flying,85,90,80,70,80,130,535
170,chinchou,water,electric,75,38,38,56,56,67,330
171,lanturn,water,electric,125,58,58,76,76,67,460
172,pichu,electric,,20,40,15,35,35,60,205
173,cleffa,fairy,,50,25,28,45,55,15,218
174,igglybuff,normal,fairy,90,30,15,40,20,15,210
175,togepi,fairy,,35,20,65,40,65,20,245
176,togetic,fairy,flying,55,40,85,80,105,40,405
177,natu,psychic,flying,40,50,45,70,45,70,320
178,xatu,psychic,flying,65,75,70,95,70,95,470
179,mareep,electric,,55,40,40,65,45,35,280
180,flaaffy,electric,,70,55,55,80,60,45,365
181,ampharos,electric,,90,75,85,115,90,55,510
182,bellossom,grass,,75,80,95,90,100,50,490
183,marill,water,fairy,70,20,50,20,50,40,250
184,azumarill,water,fairy,100,50,80,60,80,50,420
185,sudowoodo,rock,,70,100,115,30,65,30,410
186,politoed,water,,90,75,75,90,100,70,500
187,hoppip,grass,flying,35,35,40,35,55,50,250
188,skiploom,grass,flying,55,45,50,45,65,80,340
189,jumpluff,grass,flying,75,55,70,55,95,110,460
190,aipom,normal,,55,70,55,40,55,85,360
191,sunkern,grass,,30,30,30,30,30,30,180
192,sunflora,grass,,75,75,55,105,85,30,425
193,yanma,bug,flying,65,65,45,75,45,95,390
194,wooper,water,ground,55,45,45,25,25,15,210
195,quagsire,water,ground,95,85,85,65,65,35,430
196,espeon,psychic,,65,65,60,130,95,110,525
197,umbreon,dark,,95,65,110,60,130,65,525
198,murkrow,dark,flying,60,85,42,85,42,91,405
199,slowking,water,psychic,95,75,80,100,110,30,490
200,misdreavus,ghost,,60,60,60,85,85,85,435
201,unown,psychic,,48,72,48,72,48,48,336
202,wobbuffet,psychic,,190,33,58,33,58,33,405
203,girafarig,normal,psychic,70,80,65,90,65,85,455
204,pineco,bug,,50,65,90,35,35,15,290
205,forretress,bug,steel,75,90,140,60,60,40,465
206,dunsparce,normal,,100,70,70,65,65,45,415
207,gligar,ground,flying,65,75,105,35,65,85,430
208,steelix,steel,ground,75,85,200,55,65,30,510
209,snubbull,fairy,,60,80,50,40,40,30,300
210,granbull,fairy,,90,120,75,60,60,45,450
211,qwilfish,water,poison,65,95,85,55,55,85,440
212,scizor,bug,steel,70,130,100,55,80,65,500
213,shuckle,bug,rock,20,10,230,10,230,5,505
214,heracross,bug,fighting,80,125,75,40,95,85,500
215,sneasel,dark,ice,55,95,55,35,75,115,430
216,teddiursa,normal,,60,80,50,50,50,40,330
217,ursaring,normal,,90,130,75,75,75,55,500
218,slugma,fire,,40,40,40,70,40,20,250
219,magcargo,fire,rock,60,50,120,90,80,30,430
220,swinub,ice,ground,50,50,40,30,30,50,250
221,piloswine,ice,ground,100,100,80,60,60,50,450
222,corsola,water,rock,65,55,95,65,95,35,410
223,remoraid,water,,35,65,35,65,35,65,300
224,octillery,water,,75,105,75,105,75,45,480
225,delibird,ice,flying,45,55,45,65,45,75,330
226,mantine,water,flying,85,40,70,80,140,70,485
227,skarmory,steel,flying,65,80,140,40,70,70,465
228,houndour,dark,fire,45,60,30,80,50,65,330
229,houndoom,dark,fire,75,90,50,110,80,95,500
230,kingdra,water,dragon,75,95,95,95,95,85,540
231,phanpy,ground,,90,60,60,40,40,40,330
232,donphan,ground,,90,120,120,60,60,50,500
233,porygon2,normal,,85,80,90,105,95,60,515
234,stantler,normal,,73,95,62,85,65,85,465
235,smeargle,normal,,55,20,35,20,45,75,250
236,tyrogue,fighting,,35,35,35,35,35,35,210
237,hitmontop,fighting,,50,95,95,35,110,70,455
238,smoochum,ice,psychic,45,30,15,85,65,65,305
239,elekid,electric,,45,63,37,65,55,95,360
240,magby,fire,,45,75,37,70,55,83,365
241,miltank,normal,,95,80,105,40,70,100,490
242,blissey,normal,,255,10,10,75,135,55,540
243,raikou,electric,,90,85,75,115,100,115,580
244,entei,fire,,115,115,85,90,75,100,580
245,suicune,water,,100,75,115,90,115,85,580
246,larvitar,rock,ground,50,64,50,45,50,41,300
247,pupitar,rock,ground,70,84,70,65,70,51,410
248,tyranitar,rock,dark,100,134,110,95,100,61,600
249,lugia,psychic,flying,106,90,130,90,154,110,680
250,ho-oh,fire,flying,106,130,90,110,154,90,680
251,celebi,psychic,grass,100,100,100,100,100,100,600
252,treecko,grass,,40,45,35,65,55,70,310
253,grovyle,grass,,50,65,45,85,65,95,405
254,sceptile,grass,,70,85,65,105,85,120,530
255,torchic,fire,,45,60,40,70,50,45,310
256,combusken,fire,fighting,60,85,60,85,60,55,405
257,blaziken,fire,fighting,80,120,70,110,70,80,530
258,mudkip,water,,50,70,50,50,50,40,310
259,marshtomp,water,ground,70,85,70,60,70,50,405
260,swampert,water,ground,100,110,90,85,90,60,535
261,poochyena,dark,,35,55,35,30,30,35,220
262,mightyena,dark,,70,90,70,60,60,70,420
263,zigzagoon,normal,,38,30,41,30,41,60,240
264,linoone,normal,,78,70,61,50,61,100,420
265,wurmple,bug,,45,45,35,20,30,20,195
266,silcoon,bug,,50,35,55,25,25,15,205
267,beautifly,bug,flying,60,70,50,100,50,65,395
268,cascoon,bug,,50,35,55,25,25,15,205
269,dustox,bug,poison,60,50,70,50,90,65,385
270,lotad,water,grass,40,30,30,40,50,30,220
271,lombre,water,grass,60,50,50,60,70,50,340
272,ludicolo,water,grass,80,70,70,90,100,70,480
273,seedot,grass,,40,40,50,30,30,30,220
274,nuzleaf,grass,dark,70,70,40,60,40,60,340
275,shiftry,grass,dark,90,100,60,90,60,80,480
276,taillow,normal,flying,40,55,30,30,30,85,270
277,swellow,normal,flying,60,85,60,75,50,125,455
278,wingull,water,flying,40,30,30,55,30,85,270
279,pelipper,water,flying,60,50,100,95,70,65,440
280,ralts,psychic,fairy,28,25,25,45,35,40,198
281,kirlia,psychic,fairy,38,35,35,65,55,50,278
282,gardevoir,psychic,fairy,68,65,65,125,115,80,518
283,surskit,bug,water,40,30,32,50,52,65,269
284,masquerain,bug,flying,70,60,62,100,82,80,454
285,shroomish,grass,,60,40,60,40,60,35,295
286,breloom,grass,fighting,60,130,80,60,60,70,460
287,slakoth,normal,,60,60,60,35,35,30,280
288,vigoroth,normal,,80,80,80,55,55,90,440
289,slaking,normal,,150,160,100,95,65,100,670
290,nincada,bug,ground,31,45,90,30,30,40,266
291,ninjask,bug,flying,61,90,45,50,50,160,456
292,shedinja,bug,ghost,1,90,45,30,30,40,236
293,whismur,normal,,64,51,23,51,23,28,240
294,loudred,normal,,84,71,43,71,43,48,360
295,exploud,normal,,104,91,63,91,73,68,490
296,makuhita,fighting,,72,60,30,20,30,25,237
297,hariyama,fighting,,144,120,60,40,60,50,474
298,azurill,normal,fairy,50,20,40,20,40,20,190
299,nosepass,rock,,30,45,135,45,90,30,375
300,skitty,normal,,50,45,45,35,35,50,260
301,delcatty,normal,,70,65,65,55,55,90,400
302,sableye,dark,ghost,50,75,75,65,65,50,380
303,mawile,steel,fairy,50,85,85,55,55,50,380
304,aron,steel,rock,50,70,100,40,40,30,330
305,lairon,steel,rock,60,90,140,50,50,40,430
306,aggron,steel,rock,70,110,180,60,60,50,530
307,meditite,fighting,psychic,30,40,55,40,55,60,280
308,medicham,fighting,psychic,60,60,75,60,75,80,410
309,electrike,electric,,40,45,40,65,40,65,295
310,manectric,electric,,70,75,60,105,60,105,475
311,plusle,electric,,60,50,40,85,75,95,405
312,minun,electric,,60,40,50,75,85,95,405
313,volbeat,bug,,65,73,75,47,85,85,430
314,illumise,bug,,65,47,75,73,85,85,430
315,roselia,grass,poison,50,60,45,100,80,65,400
316,gulpin,poison,,70,43,53,43,53,40,302
317,swalot,poison,,100,73,83,73,83,55,467
318,carvanha,water,dark,45,90,20,65,20,65,305
319,sharpedo,water,dark,70,120,40,95,40,95,460
320,wailmer,water,,130,70,35,70,35,60,400
321,wailord,water,,170,90,45,90,45,60,500
322,numel,fire,ground,60,60,40,65,45,35,305
323,camerupt,fire,ground,70,100,70,105,75,40,460
324,torkoal,fire,,70,85,140,85,70,20,470
325,spoink,psychic,,60,25,35,70,80,60,330
326,grumpig,psychic,,80,45,65,90,110,80,470
327,spinda,normal,,60,60,60,60,60,60,360
328,trapinch,ground,,45,100,45,45,45,10,290
329,vibrava,ground,dragon,50,70,50,50,50,70,340
330,flygon,ground,dragon,80,100,80,80,80,100,520
331,cacnea,grass,,50,85,40,85,40,35,335
332,cacturne,grass,dark,70,115,60,115,60,55,475
333,swablu,normal,flying,45,40,60,40,75,50,310
334,altaria,dragon,flying,75,70,90,70,105,80,490
335,zangoose,normal,,73,115,60,60,60,90,458
336,seviper,poison,,73,100,60,100,60,65,458
337,lunatone,rock,psychic,90,55,65,95,85,70,460
338,solrock,rock,psychic,90,95,85,55,65,70,460
339,barboach,water,ground,50,48,43,46,41,60,288
340,whiscash,water,ground,110,78,73,76,71,60,468
341,corphish,water,,43,80,65,50,35,35,308
342,crawdaunt,water,dark,63,120,85,90,55,55,468
343,baltoy,ground,psychic,40,40,55,40,70,55,300
344,claydol,ground,psychic,60,70,105,70,120,75,500
345,lileep,rock,grass,66,41,77,61,87,23,355
346,cradily,rock,grass,86,81,97,81,107,43,495
347,anorith,rock,bug,45,95,50,40,50,75,355
348,armaldo,rock,bug,75,125,100,70,80,45,495
349,feebas,water,,20,15,20,10,55,80,200
350,milotic,water,,95,60,79,100,125,81,540
351,castform,normal,,70,70,70,70,70,70,420
352,kecleon,normal,,60,90,70,60,120,40,440
353,shuppet,ghost,,44,75,35,63,33,45,295
354,banette,ghost,,64,115,65,83,63,65,455
355,duskull,ghost,,20,40,90,30,90,25,295
356,dusclops,ghost,,40,70,130,60,130,25,455
357,tropius,grass,flying,99,68,83,72,87,51,460
358,chimecho,psychic,,75,50,80,95,90,65,455
359,absol,dark,,65,130,60,75,60,75,465
360,wynaut,psychic,,95,23,48,23,48,23,260
361,snorunt,ice,,50,50,50,50,50,50,300
362,glalie,ice,,80,80,80,80,80,80,480
363,spheal,ice,water,70,40,50,55,50,25,290
364,sealeo,ice,water,90,60,70,75,70,45,410
365,walrein,ice,water,110,80,90,95,90,65,530
366,clamperl,water,,35,64,85,74,55,32,345
367,huntail,water,,55,104,105,94,75,52,485
368,gorebyss,water,,55,84,105,114,75,52,485
369,relicanth,water,rock,100,90,130,45,65,55,485
370,luvdisc,water,,43,30,55,40,65,97,330
371,bagon,dragon,,45,75,60,40,30,50,300
372,shelgon,dragon,,65,95,100,60,50,50,420
373,salamence,dragon,flying,95,135,80,110,80,100,600
374,beldum,steel,psychic,40,55,80,35,60,30,300
375,metang,steel,psychic,60,75,100,55,80,50,420
376,metagross,steel,psychic,80,135,130,95,90,70,600
377,regirock,rock,,80,100,200,50,100,50,580
378,regice,ice,,80,50,100,100,200,50,580
379,registeel,steel,,80,75,150,75,150,50,580
380,latias,dragon,psychic,80,80,90,110,130,110,600
381,latios,dragon,psychic,80,90,80,130,110,110,600
382,kyogre,water,,100,100,90,150,140,90,670
383,groudon,ground,,100,150,140,100,90,90,670
384,rayquaza,dragon,flying,105,150,90,150,90,95,680
385,jirachi,steel,psychic,100,100,100,100,100,100,600
386,deoxys-normal,psychic,,50,150,50,150,50,150,600
387,turtwig,grass,,55,68,64,45,55,31,318
388,grotle,grass,,75,89,85,55,65,36,405
389,torterra,grass,ground,95,109,105,75,85,56,525
390,chimchar,fire,,44,58,44,58,44,61,309
391,monferno,fire,fighting,64,78,52,78,52,81,405
392,infernape,fire,fighting,76,104,71,104,71,108,534
393,piplup,water,,53,51,53,61,56,40,314
394,prinplup,water,,64,66,68,81,76,50,405
395,empoleon,water,steel,84,86,88,111,101,60,530
396,starly,normal,flying,40,55,30,30,30,60,245
397,staravia,normal,flying,55,75,50,40,40,80,340
398,staraptor,normal,flying,85,120,70,50,60,100,485
399,bidoof,normal,,59,45,40,35,40,31,250
400,bibarel,normal,water,79,85,60,55,60,71,410
401,kricketot,bug,,37,25,41,25,41,25,194
402,kricketune,bug,,77,85,51,55,51,65,384
403,shinx,electric,,45,65,34,40,34,45,263
404,luxio,electric,,60,85,49,60,49,60,363
405,luxray,electric,,80,120,79,95,79,70,523
406,budew,grass,poison,40,30,35,50,70,55,280
407,roserade,grass,poison,60,70,65,125,105,90,515
408,cranidos,rock,,67,125,40,30,30,58,350
409,rampardos,rock,,97,165,60,65,50,58,495
410,shieldon,rock,steel,30,42,118,42,88,30,350
411,bastiodon,rock,steel,60,52,168,47,138,30,495
412,burmy,bug,,40,29,45,29,45,36,224
413,wormadam-plant,bug,grass,60,59,85,79,105,36,424
414,mothim,bug,flying,70,94,50,94,50,66,424
415,combee,bug,flying,30,30,42,30,42,70,244
416,vespiquen,bug,flying,70,80,102,80,102,40,474
417,pachirisu,electric,,60,45,70,45,90,95,405
418,buizel,water,,55,65,35,60,30,85,330
419,floatzel,water,,85,105,55,85,50,115,495
420,cherubi,grass,,45,35,45,62,53,35,275
421,cherrim,grass,,70,60,70,87,78,85,450
422,shellos,water,,76,48,48,57,62,34,325
423,gastrodon,water,ground,111,83,68,92,82,39,475
424,ambipom,normal,,75,100,66,60,66,115,482
425,drifloon,ghost,flying,90,50,34,60,44,70,348
426,drifblim,ghost,flying,150,80,44,90,54,80,498
427,buneary,normal,,55,66,44,44,56,85,350
428,lopunny,normal,,65,76,84,54,96,105,480
429,mismagius,ghost,,60,60,60,105,105,105,495
430,honchkrow,dark,flying,100,125,52,105,52,71,505
431,glameow,normal,,49,55,42,42,37,85,310
432,purugly,normal,,71,82,64,64,59,112,452
433,chingling,psychic,,45,30,50,65,50,45,285
434,stunky,poison,dark,63,63,47,41,41,74,329
435,skuntank,poison,dark,103,93,67,71,61,84,479
436,bronzor,steel,psychic,57,24,86,24,86,23,300
437,bronzong,steel,psychic,67,89,116,79,116,33,500
438,bonsly,rock,,50,80,95,10,45,10,290
439,mime-jr,psychic,fairy,20,25,45,70,90,60,310
440,happiny,normal,,100,5,5,15,65,30,220
441,chatot,normal,flying,76,65,45,92,42,91,411
442,spiritomb,ghost,dark,50,92,108,92,108,35,485
443,gible,dragon,ground,58,70,45,40,45,42,300
444,gabite,dragon,ground,68,90,65,50,55,82,410
445,garchomp,dragon,ground,108,130,95,80,85,102,600
446,munchlax,normal,,135,85,40,40,85,5,390
447,riolu,fighting,,40,70,40,35,40,60,285
448,lucario,fighting,steel,70,110,70,115,70,90,525
449,hippopotas,ground,,68,72,78,38,42,32,330
450,hippowdon,ground,,108,112,118,68,72,47,525
451,skorupi,poison,bug,40,50,90,30,55,65,330
452,drapion,poison,dark,70,90,110,60,75,95,500
453,croagunk,poison,fighting,48,61,40,61,40,50,300
454,toxicroak,poison,fighting,83,106,65,86,65,85,490
455,carnivine,grass,,74,100,72,90,72,46,454
456,finneon,water,,49,49,56,49,61,66,330
457,lumineon,water,,69,69,76,69,86,91,460
458,mantyke,water,flying,45,20,50,60,120,50,345
459,snover,grass,ice,60,62,50,62,60,40,334
460,abomasnow,grass,ice,90,92,75,92,85,60,494
461,weavile,dark,ice,70,120,65,45,85,125,510
462,magnezone,electric,steel,70,70,115,130,90,60,535
463,lickilicky,normal,,110,85,95,80,95,50,515
464,rhyperior,ground,rock,115,140,130,55,55,40,535
465,tangrowth,grass,,100,100,125,110,50,50,535
466,electivire,electric,,75,123,67,95,85,95,540
467,magmortar,fire,,75,95,67,125,95,83,540
468,togekiss,fairy,flying,85,50,95,120,115,80,545
469,yanmega,bug,flying,86,76,86,116,56,95,515
470,leafeon,grass,,65,110,130,60,65,95,525
471,glaceon,ice,,65,60,110,130,95,65,525
472,gliscor,ground,flying,75,95,125,45,75,95,510
473,mamoswine,ice,ground,110,130,80,70,60,80,530
474,porygon-z,normal,,85,80,70,135,75,90,535
475,gallade,psychic,fighting,68,125,65,65,115,80,518
476,probopass,rock,steel,60,55,145,75,150,40,525
477,dusknoir,ghost,,45,100,135,65,135,45,525
478,froslass,ice,ghost,70,80,70,80,70,110,480
479,rotom,electric,ghost,50,50,77,95,77,91,440
480,uxie,psychic,,75,75,130,75,130,95,580
481,mesprit,psychic,,80,105,105,105,105,80,580
482,azelf,psychic,,75,125,70,125,70,115,580
483,dialga,steel,dragon,100,120,120,150,100,90,680
484,palkia,water,dragon,90,120,100,150,120,100,680
485,heatran,fire,steel,91,90,106,130,106,77,600
486,regigigas,normal,,110,160,110,80,110,100,670
487,giratina-altered,ghost,dragon,150,100,120,100,120,90,680
488,cresselia,psychic,,120,70,110,75,120,85,580
489,phione,water,,80,80,80,80,80,80,480
490,manaphy,water,,100,100,100,100,100,100,600
491,darkrai,dark,,70,90,90,135,90,125,600
492,shaymin-land,grass,,100,100,100,100,100,100,600
493,arceus,normal,,120,120,120,120,120,120,720
494,victini,psychic,fire,100,100,100,100,100,100,600
495,snivy,grass,,45,45,55,45,55,63,308
496,servine,grass,,60,60,75,60,75,83,413
497,serperior,grass,,75,75,95,75,95,113,528
498,tepig,fire,,65,63,45,45,45,45,308
499,pignite,fire,fighting,90,93,55,70,55,55,418
500,emboar,fire,fighting,110,123,65,100,65,65,528
501,oshawott,water,,55,55,45,63,45,45,308
502,dewott,water,,75,75,60,83,60,60,413
503,samurott,water,,95,100,85,108,70,70,528
504,patrat,normal,,45,55,39,35,39,42,255
505,watchog,normal,,60,85,69,60,69,77,420
506,lillipup,normal,,45,60,45,25,45,55,275
507,herdier,normal,,65,80,65,35,65,60,370
508,stoutland,normal,,85,110,90,45,90,80,500
509,purrloin,dark,,41,50,37,50,37,66,281
510,liepard,dark,,64,88,50,88,50,106,446
511,pansage,grass,,50,53,48,53,48,64,316
512,simisage,grass,,75,98,63,98,63,101,498
513,pansear,fire,,50,53,48,53,48,64,316
514,simisear,fire,,75,98,63,98,63,101,498
515,panpour,water,,50,53,48,53,48,64,316
516,simipour,water,,75,98,63,98,63,101,498
517,munna,psychic,,76,25,45,67,55,24,292
518,musharna,psychic,,116,55,85,107,95,29,487
519,pidove,normal,flying,50,55,50,36,30,43,264
520,tranquill,normal,flying,62,77,62,50,42,65,358
521,unfezant,normal,flying,80,115,80,65,55,93,488
522,blitzle,electric,,45,60,32,50,32,76,295
523,zebstrika,electric,,75,100,63,80,63,116,497
524,roggenrola,rock,,55,75,85,25,25,15,280
525,boldore,rock,,70,105,105,50,40,20,390
526,gigalith,rock,,85,135,130,60,80,25,515
527,woobat,psychic,flying,65,45,43,55,43,72,323
528,swoobat,psychic,flying,67,57,55,77,55,114,425
529,drilbur,ground,,60,85,40,30,45,68,328
530,excadrill,ground,steel,110,135,60,50,65,88,508
531,audino,normal,,103,60,86,60,86,50,445
532,timburr,fighting,,75,80,55,25,35,35,305
533,gurdurr,fighting,,85,105,85,40,50,40,405
534,conkeldurr,fighting,,105,140,95,55,65,45,505
535,tympole,water,,50,50,40,50,40,64,294
536,palpitoad,water,ground,75,65,55,65,55,69,384
537,seismitoad,water,ground,105,95,75,85,75,74,509
538,throh,fighting,,120,100,85,30,85,45,465
539,sawk,fighting,,75,125,75,30,75,85,465
540,sewaddle,bug,grass,45,53,70,40,60,42,310
541,swadloon,bug,grass,55,63,90,50,80,42,380
542,leavanny,bug,grass,75,103,80,70,80,92,500
