id,name,type1,type2,hp,attack,defense,special_attack,special_defense,speed,bst,image,display_name
346,cradily,rock,grass,86,81,97,81,107,43,495,346.png,Cradily
348,armaldo,rock,bug,75,125,100,70,80,45,495,348.png,Armaldo
350,milotic,water,,95,60,79,100,125,81,540,350.png,Milotic
362,glalie,ice,,80,80,80,80,80,80,480,362.png,Glalie
365,walrein,ice,water,110,80,90,95,90,65,530,365.png,Walrein
367,huntail,water,,55,104,105,94,75,52,485,367.png,Huntail
368,gorebyss,water,,55,84,105,114,75,52,485,368.png,Gorebyss
369,relicanth,water,rock,100,90,130,45,65,55,485,369.png,Relicanth
373,salamence,dragon,flying,95,135,80,110,80,100,600,373.png,Salamence
376,metagross,steel,psychic,80,135,130,95,90,70,600,376.png,Metagross
377,regirock,rock,,80,100,200,50,100,50,580,377.png,Regirock
378,regice,ice,,80,50,100,100,200,50,580,378.png,Regice
379,registeel,steel,,80,75,150,75,150,50,580,379.png,Registeel
380,latias,dragon,psychic,80,80,90,110,130,110,600,380.png,Latias
381,latios,dragon,psychic,80,90,80,130,110,110,600,381.png,Latios
382,kyogre,water,,100,100,90,150,140,90,670,382.png,Kyogre
383,groudon,ground,,100,150,140,100,90,90,670,383.png,Groudon
384,rayquaza,dragon,flying,105,150,90,150,90,95,680,384.png,Rayquaza
385,jirachi,steel,psychic,100,100,100,100,100,100,600,385.png,Jirachi
386,deoxys-normal,psychic,,50,150,50,150,50,150,600,386.png,Deoxys Normal
389,torterra,grass,ground,95,109,105,75,85,56,525,389.png,Torterra
392,infernape,fire,fighting,76,104,71,104,71,108,534,392.png,Infernape
395,empoleon,water,steel,84,86,88,111,101,60,530,395.png,Empoleon
398,staraptor,normal,flying,85,120,70,50,60,100,485,398.png,Staraptor
405,luxray,electric,,80,120,79,95,79,70,523,405.png,Luxray
407,roserade,grass,poison,60,70,65,125,105,90,515,407.png,Roserade
409,rampardos,rock,,97,165,60,65,50,58,495,409.png,Rampardos
411,bastiodon,rock,steel,60,52,168,47,138,30,495,411.png,Bastiodon
419,floatzel,water,,85,105,55,85,50,115,495,419.png,Floatzel
423,gastrodon,water,ground,111,83,68,92,82,39,475,423.png,Gastrodon
424,ambipom,normal,,75,100,66,60,66,115,482,424.png,Ambipom
426,drifblim,ghost,flying,150,80,44,90,54,80,498,426.png,Drifblim
428,lopunny,normal,,65,76,84,54,96,105,480,428.png,Lopunny
429,mismagius,ghost,,60,60,60,105,105,105,495,429.png,Mismagius
430,honchkrow,dark,flying,100,125,52,105,52,71,505,430.png,Honchkrow
435,skuntank,poison,dark,103,93,67,71,61,84,479,435.png,Skuntank
437,bronzong,steel,psychic,67,89,116,79,116,33,500,437.png,Bronzong
442,spiritomb,ghost,dark,50,92,108,92,108,35,485,442.png,Spiritomb
445,garchomp,dragon,ground,108,130,95,80,85,102,600,445.png,Garchomp
448,lucario,fighting,steel,70,110,70,115,70,90,525,448.png,Lucario
450,hippowdon,ground,,108,112,118,68,72,47,525,450.png,Hippowdon
452,drapion,poison,dark,70,90,110,60,75,95,500,452.png,Drapion
454,toxicroak,poison,fighting,83,106,65,86,65,85,490,454.png,Toxicroak
460,abomasnow,grass,ice,90,92,75,92,85,60,494,460.png,Abomasnow
461,weavile,dark,ice,70,120,65,45,85,125,510,461.png,Weavile
462,magnezone,electric,steel,70,70,115,130,90,60,535,462.png,Magnezone
463,lickilicky,normal,,110,85,95,80,95,50,515,463.png,Lickilicky
464,rhyperior,ground,rock,115,140,130,55,55,40,535,464.png,Rhyperior
465,tangrowth,grass,,100,100,125,110,50,50,535,465.png,Tangrowth
466,electivire,electric,,75,123,67,95,85,95,540,466.png,Electivire
467,magmortar,fire,,75,95,67,125,95,83,540,467.png,Magmortar
468,togekiss,fairy,flying,85,50,95,120,115,80,545,468.png,Togekiss
469,yanmega,bug,flying,86,76,86,116,56,95,515,469.png,Yanmega
470,leafeon,grass,,65,110,130,60,65,95,525,470.png,Leafeon
471,glaceon,ice,,65,60,110,130,95,65,525,471.png,Glaceon
472,gliscor,ground,flying,75,95,125,45,75,95,510,472.png,Gliscor
473,mamoswine,ice,ground,110,130,80,70,60,80,530,473.png,Mamoswine
474,porygon-z,normal,,85,80,70,135,75,90,535,474.png,Porygon Z
475,gallade,psychic,fighting,68,125,65,65,115,80,518,475.png,Gallade
476,probopass,rock,steel,60,55,145,75,150,40,525,476.png,Probopass
477,dusknoir,ghost,,45,100,135,65,135,45,525,477.png,Dusknoir
478,froslass,ice,ghost,70,80,70,80,70,110,480,478.png,Froslass
480,uxie,psychic,,75,75,130,75,130,95,580,480.png,Uxie
481,mesprit,psychic,,80,105,105,105,105,80,580,481.png,Mesprit
482,azelf,psychic,,75,125,70,125,70,115,580,482.png,Azelf
483,dialga,steel,dragon,100,120,120,150,100,90,680,483.png,Dialga
484,palkia,water,dragon,90,120,100,150,120,100,680,484.png,Palkia
485,heatran,fire,steel,91,90,106,130,106,77,600,485.png,Heatran
486,regigigas,normal,,110,160,110,80,110,100,670,486.png,Regigigas
487,giratina-altered,ghost,dragon,150,100,120,100,120,90,680,487.png,Giratina Altered
488,cresselia,psychic,,120,70,110,75,120,85,580,488.png,Cresselia
489,phione,water,,80,80,80,80,80,80,480,489.png,Phione
490,manaphy,water,,100,100,100,100,100,100,600,490.png,Manaphy
491,darkrai,dark,,70,90,90,135,90,125,600,491.png,Darkrai
492,shaymin-land,grass,,100,100,100,100,100,100,600,492.png,Shaymin Land
493,arceus,normal,,120,120,120,120,120,120,720,493.png,Arceus
494,victini,psychic,fire,100,100,100,100,100,100,600,494.png,Victini
497,serperior,grass,,75,75,95,75,95,113,528,497.png,Serperior
500,emboar,fire,fighting,110,123,65,100,65,65,528,500.png,Emboar
503,samurott,water,,95,100,85,108,70,70,528,503.png,Samurott
508,stoutland,normal,,85,110,90,45,90,80,500,508.png,Stoutland
512,simisage,grass,,75,98,63,98,63,101,498,512.png,Simisage
514,simisear,fire,,75,98,63,98,63,101,498,514.png,Simisear
516,simipour,water,,75,98,63,98,63,101,498,516.png,Simipour
518,musharna,psychic,,116,55,85,107,95,29,487,518.png,Musharna
521,unfezant,normal,flying,80,115,80,65,55,93,488,521.png,Unfezant
523,zebstrika,electric,,75,100,63,80,63,116,497,523.png,Zebstrika
526,gigalith,rock,,85,135,130,60,80,25,515,526.png,Gigalith
530,excadrill,ground,steel,110,135,60,50,65,88,508,530.png,Excadrill
534,conkeldurr,fighting,,105,140,95,55,65,45,505,534.png,Conkeldurr
537,seismitoad,water,ground,105,95,75,85,75,74,509,537.png,Seismitoad
542,leavanny,bug,grass,75,103,80,70,80,92,500,542.png,Leavanny
545,scolipede,bug,poison,60,100,89,55,69,112,485,545.png,Scolipede
547,whimsicott,grass,fairy,60,67,85,77,75,116,480,547.png,Whimsicott
549,lilligant,grass,,70,60,75,110,75,90,480,549.png,Lilligant
553,krookodile,ground,dark,95,117,80,65,70,92,519,553.png,Krookodile
555,darmanitan-standard,fire,,105,140,55,30,55,95,480,555.png,Darmanitan Standard
558,crustle,bug,rock,70,105,125,65,75,45,485,558.png,Crustle
560,scrafty,dark,fighting,65,90,115,45,115,58,488,560.png,Scrafty
561,sigilyph,psychic,flying,72,58,80,103,80,97,490,561.png,Sigilyph
563,cofagrigus,ghost,,58,50,145,95,105,30,483,563.png,Cofagrigus
565,carracosta,water,rock,74,108,133,83,65,32,495,565.png,Carracosta
567,archeops,rock,flying,75,140,65,112,65,110,567,567.png,Archeops
571,zoroark,dark,,60,105,60,120,60,105,510,571.png,Zoroark
576,gothitelle,psychic,,70,55,95,95,110,65,490,576.png,Gothitelle
579,reuniclus,psychic,,110,65,75,125,85,30,490,579.png,Reuniclus
584,vanilluxe,ice,,71,95,85,110,95,79,535,584.png,Vanilluxe
586,sawsbuck,normal,grass,80,100,70,60,70,95,475,586.png,Sawsbuck
589,escavalier,bug,steel,70,135,105,60,105,20,495,589.png,Escavalier
593,jellicent-male,water,ghost,100,60,70,85,105,60,480,593.png,Jellicent Male
598,ferrothorn,grass,steel,74,94,131,54,116,20,489,598.png,Ferrothorn
601,klinklang,steel,,60,100,115,70,85,90,520,601.png,Klinklang
604,eelektross,electric,,85,115,80,105,80,50,515,604.png,Eelektross
606,beheeyem,psychic,,75,75,75,125,95,40,485,606.png,Beheeyem
609,chandelure,ghost,fire,60,55,90,145,90,80,520,609.png,Chandelure
612,haxorus,dragon,,76,147,90,60,70,97,540,612.png,Haxorus
614,beartic,ice,,95,130,80,70,80,50,505,614.png,Beartic
615,cryogonal,ice,,80,50,50,95,135,105,515,615.png,Cryogonal
617,accelgor,bug,,80,70,40,100,60,145,495,617.png,Accelgor
620,mienshao,fighting,,65,125,60,95,60,105,510,620.png,Mienshao
621,druddigon,dragon,,77,120,90,60,90,48,485,621.png,Druddigon
623,golurk,ground,ghost,89,124,80,55,80,55,483,623.png,Golurk
625,bisharp,dark,steel,65,125,100,60,70,70,490,625.png,Bisharp
626,bouffalant,normal,,95,110,95,40,95,55,490,626.png,Bouffalant
628,braviary,normal,flying,100,123,75,57,75,80,510,628.png,Braviary
630,mandibuzz,dark,flying,110,65,105,55,95,80,510,630.png,Mandibuzz
631,heatmor,fire,,85,97,66,105,66,65,484,631.png,Heatmor
632,durant,bug,steel,58,109,112,48,48,109,484,632.png,Durant
635,hydreigon,dark,dragon,92,105,90,125,90,98,600,635.png,Hydreigon
637,volcarona,bug,fire,85,60,65,135,105,100,550,637.png,Volcarona
638,cobalion,steel,fighting,91,90,129,90,72,108,580,638.png,Cobalion
639,terrakion,rock,fighting,91,129,90,72,90,108,580,639.png,Terrakion
640,virizion,grass,fighting,91,90,72,90,129,108,580,640.png,Virizion
641,tornadus-incarnate,flying,,79,115,70,125,80,111,580,641.png,Tornadus Incarnate
642,thundurus-incarnate,electric,flying,79,115,70,125,80,111,580,642.png,Thundurus Incarnate
643,reshiram,dragon,fire,100,120,100,150,120,90,680,643.png,Reshiram
644,zekrom,dragon,electric,100,150,120,120,100,90,680,644.png,Zekrom
645,landorus-incarnate,ground,flying,89,125,90,115,80,101,600,645.png,Landorus Incarnate
646,kyurem,dragon,ice,125,130,90,130,90,95,660,646.png,Kyurem
647,keldeo-ordinary,water,fighting,91,72,90,129,90,108,580,647.png,Keldeo Ordinary
648,meloetta-aria,normal,psychic,100,77,77,128,128,90,600,648.png,Meloetta Aria
649,genesect,bug,steel,71,120,95,120,95,99,600,649.png,Genesect
652,chesnaught,grass,fighting,88,107,122,74,75,64,530,652.png,Chesnaught
655,delphox,fire,psychic,75,69,72,114,100,104,534,655.png,Delphox
658,greninja,water,dark,72,95,67,103,71,122,530,658.png,Greninja
663,talonflame,fire,flying,78,81,71,74,69,126,499,663.png,Talonflame
668,pyroar-male,fire,normal,86,68,72,109,66,106,507,668.png,Pyroar Male
671,florges,fairy,,78,65,68,112,154,75,552,671.png,Florges
673,gogoat,grass,,123,100,62,97,81,68,531,673.png,Gogoat
675,pangoro,fighting,dark,95,124,78,69,71,58,495,675.png,Pangoro
681,aegislash-shield,steel,ghost,60,50,140,50,140,60,500,681.png,Aegislash Shield
685,slurpuff,fairy,,82,80,86,85,75,72,480,685.png,Slurpuff
687,malamar,dark,psychic,86,92,88,68,75,73,482,687.png,Malamar
689,barbaracle,rock,water,72,105,115,54,86,68,500,689.png,Barbaracle
691,dragalge,poison,dragon,65,75,90,97,123,44,494,691.png,Dragalge
693,clawitzer,water,,71,73,88,120,89,59,500,693.png,Clawitzer
695,heliolisk,electric,normal,62,55,52,109,94,109,481,695.png,Heliolisk
697,tyrantrum,rock,dragon,82,121,119,69,59,71,521,697.png,Tyrantrum
699,aurorus,rock,ice,123,77,72,99,92,58,521,699.png,Aurorus
700,sylveon,fairy,,95,65,65,110,130,60,525,700.png,Sylveon
701,hawlucha,fighting,flying,78,92,75,74,63,118,500,701.png,Hawlucha
703,carbink,rock,fairy,50,50,150,50,150,50,500,703.png,Carbink
706,goodra,dragon,,90,100,70,110,150,80,600,706.png,Goodra
711,gourgeist-average,ghost,grass,65,90,122,58,75,84,494,711.png,Gourgeist Average
713,avalugg,ice,,95,117,184,44,46,28,514,713.png,Avalugg
715,noivern,flying,dragon,85,70,80,97,80,123,535,715.png,Noivern
716,xerneas,fairy,,126,131,95,131,98,99,680,716.png,Xerneas
717,yveltal,dark,flying,126,131,95,131,98,99,680,717.png,Yveltal
718,zygarde-50,dragon,ground,108,100,121,81,95,95,600,718.png,Zygarde 50
719,diancie,rock,fairy,50,100,150,100,150,50,600,719.png,Diancie
720,hoopa,psychic,ghost,80,110,60,150,130,70,600,720.png,Hoopa
721,volcanion,fire,water,80,110,120,130,90,70,600,721.png,Volcanion
724,decidueye,grass,ghost,78,107,75,100,100,70,530,724.png,Decidueye
727,incineroar,fire,dark,95,115,90,80,90,60,530,727.png,Incineroar
730,primarina,water,fairy,80,74,74,126,116,60,530,730.png,Primarina
733,toucannon,normal,flying,80,120,75,75,75,60,485,733.png,Toucannon
738,vikavolt,bug,electric,77,70,90,145,75,43,500,738.png,Vikavolt
740,crabominable,fighting,ice,97,132,77,62,67,43,478,740.png,Crabominable
741,oricorio-baile,fire,flying,75,70,70,98,70,93,476,741.png,Oricorio Baile
745,lycanroc-midday,rock,,75,115,65,55,65,112,487,745.png,Lycanroc Midday
748,toxapex,poison,water,50,63,152,53,142,35,495,748.png,Toxapex
750,mudsdale,ground,,100,125,100,55,85,35,500,750.png,Mudsdale
754,lurantis,grass,,70,105,90,80,90,45,480,754.png,Lurantis
758,salazzle,poison,fire,68,64,60,111,60,117,480,758.png,Salazzle
760,bewear,normal,fighting,120,125,80,55,60,60,500,760.png,Bewear
763,tsareena,grass,,72,120,98,50,98,72,510,763.png,Tsareena
764,comfey,fairy,,51,52,90,82,110,100,485,764.png,Comfey
765,oranguru,normal,psychic,90,60,80,90,110,60,490,765.png,Oranguru
766,passimian,fighting,,100,120,90,40,60,80,490,766.png,Passimian
768,golisopod,bug,water,75,125,140,60,90,40,530,768.png,Golisopod
770,palossand,ghost,ground,85,75,110,100,75,35,480,770.png,Palossand
772,type-null,normal,,95,95,95,95,95,59,534,772.png,Type Null
773,silvally,normal,,95,95,95,95,95,95,570,773.png,Silvally
775,komala,normal,,65,115,65,75,95,65,480,775.png,Komala
776,turtonator,fire,dragon,60,78,135,91,85,36,485,776.png,Turtonator
778,mimikyu-disguised,ghost,fairy,55,90,80,50,105,96,476,778.png,Mimikyu Disguised
779,bruxish,water,psychic,68,105,70,70,70,92,475,779.png,Bruxish
780,drampa,normal,dragon,78,60,85,135,91,36,485,780.png,Drampa
781,dhelmise,ghost,grass,70,131,100,86,90,40,517,781.png,Dhelmise
784,kommo-o,dragon,fighting,75,110,125,100,105,85,600,784.png,Kommo O
785,tapu-koko,electric,fairy,70,115,85,95,75,130,570,785.png,Tapu Koko
786,tapu-lele,psychic,fairy,70,85,75,130,115,95,570,786.png,Tapu Lele
787,tapu-bulu,grass,fairy,70,130,115,85,95,75,570,787.png,Tapu Bulu
788,tapu-fini,water,fairy,70,75,115,95,130,85,570,788.png,Tapu Fini
791,solgaleo,psychic,steel,137,137,107,113,89,97,680,791.png,Solgaleo
792,lunala,psychic,ghost,137,113,89,137,107,97,680,792.png,Lunala
793,nihilego,rock,poison,109,53,47,127,131,103,570,793.png,Nihilego
794,buzzwole,bug,fighting,107,139,139,53,53,79,570,794.png,Buzzwole
795,pheromosa,bug,fighting,71,137,37,137,37,151,570,795.png,Pheromosa
796,xurkitree,electric,,83,89,71,173,71,83,570,796.png,Xurkitree
797,celesteela,steel,flying,97,101,103,107,101,61,570,797.png,Celesteela
798,kartana,grass,steel,59,181,131,59,31,109,570,798.png,Kartana
799,guzzlord,dark,dragon,223,101,53,97,53,43,570,799.png,Guzzlord
800,necrozma,psychic,,97,107,101,127,89,79,600,800.png,Necrozma
801,magearna,steel,fairy,80,95,115,130,115,65,600,801.png,Magearna
802,marshadow,fighting,ghost,90,125,80,90,90,125,600,802.png,Marshadow
804,naganadel,poison,dragon,73,73,73,127,73,121,540,804.png,Naganadel
805,stakataka,rock,steel,61,131,211,53,101,13,570,805.png,Stakataka
806,blacephalon,fire,ghost,53,127,53,151,79,107,570,806.png,Blacephalon
807,zeraora,electric,,88,112,75,102,80,143,600,807.png,Zeraora
809,melmetal,steel,,135,143,143,80,65,34,600,809.png,Melmetal
812,rillaboom,grass,,100,125,90,60,70,85,530,812.png,Rillaboom
815,cinderace,fire,,80,116,75,65,75,119,530,815.png,Cinderace
818,inteleon,water,,70,85,65,125,65,120,530,818.png,Inteleon
823,corviknight,flying,steel,98,87,105,53,85,67,495,823.png,Corviknight
826,orbeetle,bug,psychic,60,45,110,80,120,90,505,826.png,Orbeetle
832,dubwool,normal,,72,80,100,60,90,88,490,832.png,Dubwool
834,drednaw,water,rock,90,115,90,48,68,74,485,834.png,Drednaw
836,boltund,electric,,69,90,60,90,60,121,490,836.png,Boltund
839,coalossal,rock,fire,110,80,120,80,90,30,510,839.png,Coalossal
841,flapple,grass,dragon,70,110,80,95,60,70,485,841.png,Flapple
842,appletun,grass,dragon,110,85,80,100,80,30,485,842.png,Appletun
844,sandaconda,ground,,72,107,125,65,70,71,510,844.png,Sandaconda
845,cramorant,flying,water,70,85,55,85,95,85,475,845.png,Cramorant
847,barraskewda,water,,61,123,60,60,50,136,490,847.png,Barraskewda
849,toxtricity-amped,electric,poison,75,98,70,114,70,75,502,849.png,Toxtricity Amped
851,centiskorch,fire,bug,100,115,65,90,90,65,525,851.png,Centiskorch
853,grapploct,fighting,,80,118,90,70,80,42,480,853.png,Grapploct
855,polteageist,ghost,,60,65,65,134,114,70,508,855.png,Polteageist
858,hatterene,psychic,fairy,57,90,95,136,103,29,510,858.png,Hatterene
861,grimmsnarl,dark,fairy,95,120,65,95,75,60,510,861.png,Grimmsnarl
862,obstagoon,dark,normal,93,90,101,60,81,95,520,862.png,Obstagoon
864,cursola,ghost,,60,95,50,145,130,30,510,864.png,Cursola
865,sirfetchd,fighting,,62,135,95,68,82,65,507,865.png,Sirfetchd
866,mr-rime,ice,psychic,80,85,75,110,100,70,520,866.png,Mr Rime
867,runerigus,ground,ghost,58,95,145,50,105,30,483,867.png,Runerigus
869,alcremie,fairy,,65,60,75,110,121,64,495,869.png,Alcremie
873,frosmoth,ice,bug,70,65,60,125,90,65,475,873.png,Frosmoth
876,indeedee-male,psychic,normal,60,65,55,105,95,95,475,876.png,Indeedee Male
879,copperajah,steel,,122,130,69,80,69,30,500,879.png,Copperajah
880,dracozolt,electric,dragon,90,100,90,80,70,75,505,880.png,Dracozolt
881,arctozolt,electric,ice,90,100,90,90,80,55,505,881.png,Arctozolt
882,dracovish,water,dragon,90,90,100,70,80,75,505,882.png,Dracovish
883,arctovish,water,ice,90,90,100,80,90,55,505,883.png,Arctovish
884,duraludon,steel,dragon,70,95,115,120,50,85,535,884.png,Duraludon
887,dragapult,dragon,ghost,88,120,75,100,75,142,600,887.png,Dragapult
888,zacian,fairy,,92,120,115,80,115,138,660,888.png,Zacian
889,zamazenta,fighting,,92,120,115,80,115,138,660,889.png,Zamazenta
890,eternatus,poison,dragon,140,85,95,145,95,130,690,890.png,Eternatus
892,urshifu-single-strike,fighting,dark,100,130,100,63,60,97,550,892.png,Urshifu Single Strike
893,zarude,dark,grass,105,120,105,70,95,105,600,893.png,Zarude
894,regieleki,electric,,80,100,50,100,50,200,580,894.png,Regieleki
895,regidrago,dragon,,200,100,50,100,50,80,580,895.png,Regidrago
896,glastrier,ice,,100,145,130,65,110,30,580,896.png,Glastrier
897,spectrier,ghost,,100,65,60,145,80,130,580,897.png,Spectrier
898,calyrex,psychic,grass,100,80,80,80,80,80,500,898.png,Calyrex
899,wyrdeer,normal,psychic,103,105,72,105,75,65,525,899.png,Wyrdeer
900,kleavor,bug,rock,70,135,95,45,70,85,500,900.png,Kleavor
901,ursaluna,ground,normal,130,140,105,45,80,50,550,901.png,Ursaluna
902,basculegion-male,water,ghost,120,112,65,80,75,78,530,902.png,Basculegion Male
903,sneasler,fighting,poison,80,130,60,40,80,120,510,903.png,Sneasler
904,overqwil,dark,poison,85,115,95,65,65,85,510,904.png,Overqwil
905,enamorus-incarnate,fairy,flying,74,115,70,135,80,106,580,905.png,Enamorus Incarnate
908,meowscarada,grass,dark,76,110,70,81,70,123,530,908.png,Meowscarada
911,skeledirge,fire,ghost,104,75,100,110,75,66,530,911.png,Skeledirge
914,quaquaval,water,fighting,85,120,80,85,75,85,530,914.png,Quaquaval
916,oinkologne-male,normal,,110,100,75,59,80,65,489,916.png,Oinkologne Male
923,pawmot,electric,fighting,70,115,70,70,60,105,490,923.png,Pawmot
927,dachsbun,fairy,,57,80,115,50,80,95,477,927.png,Dachsbun
930,arboliva,grass,normal,78,69,90,125,109,39,510,930.png,Arboliva
934,garganacl,rock,,100,100,130,45,90,35,500,934.png,Garganacl
