id,move_name,display_name,move_type,category,base_power
308,hydro-cannon,Hydro Cannon,water,special,150
309,meteor-mash,Meteor Mash,steel,physical,90
310,astonish,Astonish,ghost,physical,30
311,weather-ball,Weather Ball,normal,special,50
314,air-cutter,Air Cutter,flying,special,60
315,overheat,Overheat,fire,special,130
317,rock-tomb,Rock Tomb,rock,physical,60
318,silver-wind,Silver Wind,bug,special,60
323,water-spout,Water Spout,water,special,150
324,signal-beam,Signal Beam,bug,special,75
325,shadow-punch,Shadow Punch,ghost,physical,60
326,extrasensory,Extrasensory,psychic,special,80
327,sky-uppercut,Sky Uppercut,fighting,physical,85
328,sand-tomb,Sand Tomb,ground,physical,35
330,muddy-water,Muddy Water,water,special,90
331,bullet-seed,Bullet Seed,grass,physical,25
332,aerial-ace,Aerial Ace,flying,physical,60
333,icicle-spear,Icicle Spear,ice,physical,25
337,dragon-claw,Dragon Claw,dragon,physical,80
338,frenzy-plant,Frenzy Plant,grass,special,150
340,bounce,Bounce,flying,physical,85
341,mud-shot,Mud Shot,ground,special,55
342,poison-tail,Poison Tail,poison,physical,50
343,covet,Covet,normal,physical,60
344,volt-tackle,Volt Tackle,electric,physical,120
345,magical-leaf,Magical Leaf,grass,special,60
348,leaf-blade,Leaf Blade,grass,physical,90
350,rock-blast,Rock Blast,rock,physical,25
351,shock-wave,Shock Wave,electric,special,60
352,water-pulse,Water Pulse,water,special,60
353,doom-desire,Doom Desire,steel,special,140
354,psycho-boost,Psycho Boost,psychic,special,140
358,wake-up-slap,Wake Up Slap,fighting,physical,70
359,hammer-arm,Hammer Arm,fighting,physical,100
362,brine,Brine,water,special,65
364,feint,Feint,normal,physical,30
365,pluck,Pluck,flying,physical,60
369,u-turn,U-turn,bug,physical,70
370,close-combat,Close Combat,fighting,physical,120
371,payback,Payback,dark,physical,50
372,assurance,Assurance,dark,physical,60
387,last-resort,Last Resort,normal,physical,140
389,sucker-punch,Sucker Punch,dark,physical,70
394,flare-blitz,Flare Blitz,fire,physical,120
395,force-palm,Force Palm,fighting,physical,60
396,aura-sphere,Aura Sphere,fighting,special,80
398,poison-jab,Poison Jab,poison,physical,80
399,dark-pulse,Dark Pulse,dark,special,80
400,night-slash,Night Slash,dark,physical,70
401,aqua-tail,Aqua Tail,water,physical,90
402,seed-bomb,Seed Bomb,grass,physical,80
403,air-slash,Air Slash,flying,special,75
404,x-scissor,X-Scissor,bug,physical,80
405,bug-buzz,Bug Buzz,bug,special,90
406,dragon-pulse,Dragon Pulse,dragon,special,85
407,dragon-rush,Dragon Rush,dragon,physical,100
408,power-gem,Power Gem,rock,special,80
409,drain-punch,Drain Punch,fighting,physical,75
410,vacuum-wave,Vacuum Wave,fighting,special,40
411,focus-blast,Focus Blast,fighting,special,120
412,energy-ball,Energy Ball,grass,special,90
413,brave-bird,Brave Bird,flying,physical,120
414,earth-power,Earth Power,ground,special,90
416,giga-impact,Giga Impact,normal,physical,150
418,bullet-punch,Bullet Punch,steel,physical,40
419,avalanche,Avalanche,ice,physical,60
420,ice-shard,Ice Shard,ice,physical,40
421,shadow-claw,Shadow Claw,ghost,physical,70
422,thunder-fang,Thunder Fang,electric,physical,65
423,ice-fang,Ice Fang,ice,physical,65
424,fire-fang,Fire Fang,fire,physical,65
425,shadow-sneak,Shadow Sneak,ghost,physical,40
426,mud-bomb,Mud Bomb,ground,special,65
427,psycho-cut,Psycho Cut,psychic,physical,70
428,zen-headbutt,Zen Headbutt,psychic,physical,80
429,mirror-shot,Mirror Shot,steel,special,65
430,flash-cannon,Flash Cannon,steel,special,80
431,rock-climb,Rock Climb,normal,physical,90
434,draco-meteor,Draco Meteor,dragon,special,130
435,discharge,Discharge,electric,special,80
436,lava-plume,Lava Plume,fire,special,80
437,leaf-storm,Leaf Storm,grass,special,130
438,power-whip,Power Whip,grass,physical,120
439,rock-wrecker,Rock Wrecker,rock,physical,150
440,cross-poison,Cross Poison,poison,physical,70
441,gunk-shot,Gunk Shot,poison,physical,120
442,iron-head,Iron Head,steel,physical,80
443,magnet-bomb,Magnet Bomb,steel,physical,60
444,stone-edge,Stone Edge,rock,physical,100
448,chatter,Chatter,flying,special,65
449,judgment,Judgment,normal,special,100
450,bug-bite,Bug Bite,bug,physical,60
451,charge-beam,Charge Beam,electric,special,50
452,wood-hammer,Wood Hammer,grass,physical,120
453,aqua-jet,Aqua Jet,water,physical,40
454,attack-order,Attack Order,bug,physical,90
457,head-smash,Head Smash,rock,physical,150
458,double-hit,Double Hit,normal,physical,35
459,roar-of-time,Roar Of Time,dragon,special,150
460,spacial-rend,Spacial Rend,dragon,special,100
463,magma-storm,Magma Storm,fire,special,100
465,seed-flare,Seed Flare,grass,special,120
466,ominous-wind,Ominous Wind,ghost,special,60
467,shadow-force,Shadow Force,ghost,physical,120
473,psyshock,Psyshock,psychic,special,80
474,venoshock,Venoshock,poison,special,65
479,smack-down,Smack Down,rock,physical,50
480,storm-throw,Storm Throw,fighting,physical,60
481,flame-burst,Flame Burst,fire,special,70
482,sludge-wave,Sludge Wave,poison,special,95
485,synchronoise,Synchronoise,psychic,special,120
488,flame-charge,Flame Charge,fire,physical,50
490,low-sweep,Low Sweep,fighting,physical,65
491,acid-spray,Acid Spray,poison,special,40
492,foul-play,Foul Play,dark,physical,95
496,round,Round,normal,special,60
497,echoed-voice,Echoed Voice,normal,special,40
498,chip-away,Chip Away,normal,physical,70
499,clear-smog,Clear Smog,poison,special,50
500,stored-power,Stored Power,psychic,special,20
503,scald,Scald,water,special,80
506,hex,Hex,ghost,special,65
507,sky-drop,Sky Drop,flying,physical,60
509,circle-throw,Circle Throw,fighting,physical,60
510,incinerate,Incinerate,fire,special,60
512,acrobatics,Acrobatics,flying,physical,55
514,retaliate,Retaliate,normal,physical,70
517,inferno,Inferno,fire,special,100
518,water-pledge,Water Pledge,water,special,80
519,fire-pledge,Fire Pledge,fire,special,80
520,grass-pledge,Grass Pledge,grass,special,80
521,volt-switch,Volt Switch,electric,special,70
522,struggle-bug,Struggle Bug,bug,special,50
523,bulldoze,Bulldoze,ground,physical,60
524,frost-breath,Frost Breath,ice,special,60
525,dragon-tail,Dragon Tail,dragon,physical,60
527,electroweb,Electroweb,electric,special,55
528,wild-charge,Wild Charge,electric,physical,90
529,drill-run,Drill Run,ground,physical,80
530,dual-chop,Dual Chop,dragon,physical,40
531,heart-stamp,Heart Stamp,psychic,physical,60
532,horn-leech,Horn Leech,grass,physical,75
533,sacred-sword,Sacred Sword,fighting,physical,90
534,razor-shell,Razor Shell,water,physical,75
536,leaf-tornado,Leaf Tornado,grass,special,65
537,steamroller,Steamroller,bug,physical,65
539,night-daze,Night Daze,dark,special,85
540,psystrike,Psystrike,psychic,special,100
541,tail-slap,Tail Slap,normal,physical,25
542,hurricane,Hurricane,flying,special,110
543,head-charge,Head Charge,normal,physical,120
544,gear-grind,Gear Grind,steel,physical,50
545,searing-shot,Searing Shot,fire,special,100
546,techno-blast,Techno Blast,normal,special,120
547,relic-song,Relic Song,normal,special,75
548,secret-sword,Secret Sword,fighting,special,85
549,glaciate,Glaciate,ice,special,65
550,bolt-strike,Bolt Strike,electric,physical,130
551,blue-flare,Blue Flare,fire,special,130
552,fiery-dance,Fiery Dance,fire,special,80
553,freeze-shock,Freeze Shock,ice,physical,140
554,ice-burn,Ice Burn,ice,special,140
555,snarl,Snarl,dark,special,55
556,icicle-crash,Icicle Crash,ice,physical,85
557,v-create,V-create,fire,physical,180
558,fusion-flare,Fusion Flare,fire,special,100
559,fusion-bolt,Fusion Bolt,electric,physical,100
560,flying-press,Flying Press,fighting,physical,100
562,belch,Belch,poison,special,120
565,fell-stinger,Fell Stinger,bug,physical,50
566,phantom-force,Phantom Force,ghost,physical,90
570,parabolic-charge,Parabolic Charge,electric,special,65
572,petal-blizzard,Petal Blizzard,grass,physical,90
573,freeze-dry,Freeze-Dry,ice,special,70
574,disarming-voice,Disarming Voice,fairy,special,40
577,draining-kiss,Draining Kiss,fairy,special,50
583,play-rough,Play Rough,fairy,physical,90
584,fairy-wind,Fairy Wind,fairy,special,40
585,moonblast,Moonblast,fairy,special,95
586,boomburst,Boomburst,normal,special,140
591,diamond-storm,Diamond Storm,rock,physical,100
592,steam-eruption,Steam Eruption,water,special,110
593,hyperspace-hole,Hyperspace Hole,psychic,special,80
594,water-shuriken,Water Shuriken,water,special,15
595,mystical-fire,Mystical Fire,fire,special,75
605,dazzling-gleam,Dazzling Gleam,fairy,special,80
609,nuzzle,Nuzzle,electric,physical,20
610,hold-back,Hold Back,normal,physical,40
611,infestation,Infestation,bug,special,20
612,power-up-punch,Power Up Punch,fighting,physical,40
613,oblivion-wing,Oblivion Wing,flying,special,80
614,thousand-arrows,Thousand Arrows,ground,physical,90
615,thousand-waves,Thousand Waves,ground,physical,90
616,lands-wrath,Lands Wrath,ground,physical,90
617,light-of-ruin,Light Of Ruin,fairy,special,140
618,origin-pulse,Origin Pulse,water,special,110
619,precipice-blades,Precipice Blades,ground,physical,120
620,dragon-ascent,Dragon Ascent,flying,physical,120
621,hyperspace-fury,Hyperspace Fury,dark,physical,100
658,catastropika,Catastropika,electric,physical,210
660,first-impression,First Impression,bug,physical,90
662,spirit-shackle,Spirit Shackle,ghost,physical,80
663,darkest-lariat,Darkest Lariat,dark,physical,85
664,sparkling-aria,Sparkling Aria,water,special,90
665,ice-hammer,Ice Hammer,ice,physical,100
667,high-horsepower,High Horsepower,ground,physical,95
669,solar-blade,Solar Blade,grass,physical,125
670,leafage,Leafage,grass,physical,40
675,throat-chop,Throat Chop,dark,physical,80
676,pollen-puff,Pollen Puff,bug,special,90
677,anchor-shot,Anchor Shot,steel,physical,80
679,lunge,Lunge,bug,physical,80
680,fire-lash,Fire Lash,fire,physical,80
681,power-trip,Power Trip,dark,physical,20
682,burn-up,Burn Up,fire,special,130
684,smart-strike,Smart Strike,steel,physical,70
686,revelation-dance,Revelation Dance,normal,special,90
687,core-enforcer,Core Enforcer,dragon,special,100
688,trop-kick,Trop Kick,grass,physical,70
690,beak-blast,Beak Blast,flying,physical,100
691,clanging-scales,Clanging Scales,dragon,special,110
692,dragon-hammer,Dragon Hammer,dragon,physical,90
693,brutal-swing,Brutal Swing,dark,physical,60
695,sinister-arrow-raid,Sinister Arrow Raid,ghost,physical,180
696,malicious-moonsault,Malicious Moonsault,dark,physical,180
697,oceanic-operetta,Oceanic Operetta,water,special,195
699,soul-stealing-7-star-strike,Soul Stealing 7 Star Strike,ghost,physical,195
700,stoked-sparksurfer,Stoked Sparksurfer,electric,special,175
701,pulverizing-pancake,Pulverizing Pancake,normal,physical,210
703,genesis-supernova,Genesis Supernova,psychic,special,185
704,shell-trap,Shell Trap,fire,special,150
705,fleur-cannon,Fleur Cannon,fairy,special,130
706,psychic-fangs,Psychic Fangs,psychic,physical,85
707,stomping-tantrum,Stomping Tantrum,ground,physical,75
708,shadow-bone,Shadow Bone,ghost,physical,85
709,accelerock,Accelerock,rock,physical,40
710,liquidation,Liquidation,water,physical,85
711,prismatic-laser,Prismatic Laser,psychic,special,160
712,spectral-thief,Spectral Thief,ghost,physical,90
713,sunsteel-strike,Sunsteel Strike,steel,physical,100
714,moongeist-beam,Moongeist Beam,ghost,special,100
716,zing-zap,Zing Zap,electric,physical,80
718,multi-attack,Multi Attack,normal,physical,120
719,10-000-000-volt-thunderbolt,10 000 000 Volt Thunderbolt,electric,special,195
720,mind-blown,Mind Blown,fire,special,150
721,plasma-fists,Plasma Fists,electric,physical,100
722,photon-geyser,Photon Geyser,psychic,special,100
723,light-that-burns-the-sky,Light That Burns The Sky,psychic,special,200
724,searing-sunraze-smash,Searing Sunraze Smash,steel,physical,200
725,menacing-moonraze-maelstrom,Menacing Moonraze Maelstrom,ghost,special,200
726,lets-snuggle-forever,Lets Snuggle Forever,fairy,physical,190
727,splintered-stormshards,Splintered Stormshards,rock,physical,190
728,clangorous-soulblaze,Clangorous Soulblaze,dragon,special,185
729,zippy-zap,Zippy Zap,electric,physical,80
730,splishy-splash,Splishy Splash,water,special,90
731,floaty-fall,Floaty Fall,flying,physical,90
733,bouncy-bubble,Bouncy Bubble,water,special,60
734,buzzy-buzz,Buzzy Buzz,electric,special,60
735,sizzly-slide,Sizzly Slide,fire,physical,60
736,glitzy-glow,Glitzy Glow,psychic,special,80
737,baddy-bad,Baddy Bad,dark,special,80
738,sappy-seed,Sappy Seed,grass,physical,100
739,freezy-frost,Freezy Frost,ice,special,100
740,sparkly-swirl,Sparkly Swirl,fairy,special,120
742,double-iron-bash,Double Iron Bash,steel,physical,60
744,dynamax-cannon,Dynamax Cannon,dragon,special,100
745,snipe-shot,Snipe Shot,water,special,80
746,jaw-lock,Jaw Lock,dark,physical,80
751,dragon-darts,Dragon Darts,dragon,physical,50
754,bolt-beak,Bolt Beak,electric,physical,85
755,fishious-rend,Fishious Rend,water,physical,85
757,max-flare,Max Flare,fire,physical,100
758,max-flutterby,Max Flutterby,bug,physical,10
759,max-lightning,Max Lightning,electric,physical,10
760,max-strike,Max Strike,normal,physical,10
761,max-knuckle,Max Knuckle,fighting,physical,10
762,max-phantasm,Max Phantasm,ghost,physical,10
763,max-hailstorm,Max Hailstorm,ice,physical,10
764,max-ooze,Max Ooze,poison,physical,10
765,max-geyser,Max Geyser,water,physical,10
766,max-airstream,Max Airstream,flying,physical,10
767,max-starfall,Max Starfall,fairy,physical,10
768,max-wyrmwind,Max Wyrmwind,dragon,physical,10
769,max-mindstorm,Max Mindstorm,psychic,physical,10
770,max-rockfall,Max Rockfall,rock,physical,10
771,max-quake,Max Quake,ground,physical,10
772,max-darkness,Max Darkness,dark,physical,10
773,max-overgrowth,Max Overgrowth,grass,physical,10
774,max-steelspike,Max Steelspike,steel,physical,10
776,body-press,Body Press,fighting,physical,80
778,drum-beating,Drum Beating,grass,physical,80
779,snap-trap,Snap Trap,grass,physical,35
780,pyro-ball,Pyro Ball,fire,physical,120
781,behemoth-blade,Behemoth Blade,steel,physical,100
782,behemoth-bash,Behemoth Bash,steel,physical,100
783,aura-wheel,Aura Wheel,electric,physical,110
784,breaking-swipe,Breaking Swipe,dragon,physical,60
785,branch-poke,Branch Poke,grass,physical,40
786,overdrive,Overdrive,electric,special,80
787,apple-acid,Apple Acid,grass,special,80
788,grav-apple,Grav Apple,grass,physical,80
789,spirit-break,Spirit Break,fairy,physical,75
790,strange-steam,Strange Steam,fairy,special,90
793,false-surrender,False Surrender,dark,physical,80
794,meteor-assault,Meteor Assault,fighting,physical,150
795,eternabeam,Eternabeam,dragon,special,160
796,steel-beam,Steel Beam,steel,special,140
797,expanding-force,Expanding Force,psychic,special,80
798,steel-roller,Steel Roller,steel,physical,130
799,scale-shot,Scale Shot,dragon,physical,25
800,meteor-beam,Meteor Beam,rock,special,120
801,shell-side-arm,Shell Side Arm,poison,special,90
802,misty-explosion,Misty Explosion,fairy,special,100
803,grassy-glide,Grassy Glide,grass,physical,55
804,rising-voltage,Rising Voltage,electric,special,70
805,terrain-pulse,Terrain Pulse,normal,special,50
806,skitter-smack,Skitter Smack,bug,physical,70
807,burning-jealousy,Burning Jealousy,fire,special,70
808,lash-out,Lash Out,dark,physical,75
809,poltergeist,Poltergeist,ghost,physical,110
812,flip-turn,Flip Turn,water,physical,60
813,triple-axel,Triple Axel,ice,physical,20
814,dual-wingbeat,Dual Wingbeat,flying,physical,40
815,scorching-sands,Scorching Sands,ground,special,70
817,wicked-blow,Wicked Blow,dark,physical,75
818,surging-strikes,Surging Strikes,water,physical,25
819,thunder-cage,Thunder Cage,electric,special,80
820,dragon-energy,Dragon Energy,dragon,special,150
821,freezing-glare,Freezing Glare,psychic,special,90
822,fiery-wrath,Fiery Wrath,dark,special,90
823,thunderous-kick,Thunderous Kick,fighting,physical,90
824,glacial-lance,Glacial Lance,ice,physical,120
825,astral-barrage,Astral Barrage,ghost,special,120
826,eerie-spell,Eerie Spell,psychic,special,80
827,dire-claw,Dire Claw,poison,physical,80
828,psyshield-bash,Psyshield Bash,psychic,physical,70
830,stone-axe,Stone Axe,rock,physical,65
831,springtide-storm,Springtide Storm,fairy,special,100
832,mystical-power,Mystical Power,psychic,special,70
833,raging-fury,Raging Fury,fire,physical,120
834,wave-crash,Wave Crash,water,physical,120
835,chloroblast,Chloroblast,grass,special,150
836,mountain-gale,Mountain Gale,ice,physical,100
838,headlong-rush,Headlong Rush,ground,physical,120
839,barb-barrage,Barb Barrage,poison,physical,60
840,esper-wing,Esper Wing,psychic,special,80
841,bitter-malice,Bitter Malice,ghost,special,75
843,triple-arrows,Triple Arrows,fighting,physical,90
844,infernal-parade,Infernal Parade,ghost,special,60
845,ceaseless-edge,Ceaseless Edge,dark,physical,65
846,bleakwind-storm,Bleakwind Storm,flying,special,100
847,wildbolt-storm,Wildbolt Storm,electric,special,100
848,sandsear-storm,Sandsear Storm,ground,special,100
851,tera-blast,Tera Blast,normal,special,80
853,axe-kick,Axe Kick,fighting,physical,120
854,last-respects,Last Respects,ghost,physical,50
855,lumina-crash,Lumina Crash,psychic,special,80
856,order-up,Order Up,dragon,physical,80
857,jet-punch,Jet Punch,water,physical,60
859,spin-out,Spin Out,steel,physical,100
860,population-bomb,Population Bomb,normal,physical,20
861,ice-spinner,Ice Spinner,ice,physical,80
862,glaive-rush,Glaive Rush,dragon,physical,120
864,salt-cure,Salt Cure,rock,physical,40
865,triple-dive,Triple Dive,water,physical,30
866,mortal-spin,Mortal Spin,poison,physical,30
869,kowtow-cleave,Kowtow Cleave,dark,physical,85
870,flower-trick,Flower Trick,grass,physical,70
871,torch-song,Torch Song,fire,special,80
872,aqua-step,Aqua Step,water,physical,80
873,raging-bull,Raging Bull,normal,physical,90
874,make-it-rain,Make It Rain,steel,special,120
875,psyblade,Psyblade,psychic,physical,80
876,hydro-steam,Hydro Steam,water,special,80
877,ruination,Ruination,dark,special,1
878,collision-course,Collision Course,fighting,physical,100
879,electro-drift,Electro Drift,electric,special,100
884,pounce,Pounce,bug,physical,50
885,trailblaze,Trailblaze,grass,physical,50
886,chilling-water,Chilling Water,water,special,50
887,hyper-drill,Hyper Drill,normal,physical,100
888,twin-beam,Twin Beam,psychic,special,40
889,rage-fist,Rage Fist,ghost,physical,50
890,armor-cannon,Armor Cannon,fire,special,120
891,bitter-blade,Bitter Blade,fire,physical,90
892,double-shock,Double Shock,electric,physical,120
893,gigaton-hammer,Gigaton Hammer,steel,physical,160
894,comeuppance,Comeuppance,dark,physical,1
895,aqua-cutter,Aqua Cutter,water,physical,70
896,blazing-torque,Blazing Torque,fire,physical,80
897,wicked-torque,Wicked Torque,dark,physical,80
898,noxious-torque,Noxious Torque,poison,physical,100
899,combat-torque,Combat Torque,fighting,physical,100
900,magical-torque,Magical Torque,fairy,physical,100
901,blood-moon,Blood Moon,normal,special,140
902,matcha-gotcha,Matcha Gotcha,grass,special,80
903,syrup-bomb,Syrup Bomb,grass,special,60
904,ivy-cudgel,Ivy Cudgel,grass,physical,100
905,electro-shot,Electro Shot,electric,special,130
906,tera-starstorm,Tera Starstorm,normal,special,120
907,fickle-beam,Fickle Beam,dragon,special,80
909,thunderclap,Thunderclap,electric,special,70
910,mighty-cleave,Mighty Cleave,rock,physical,95
911,tachyon-cutter,Tachyon Cutter,steel,special,50
914,alluring-voice,Alluring Voice,fairy,special,80
915,temper-flare,Temper Flare,fire,physical,75
916,supercell-slam,Supercell Slam,electric,physical,100
917,psychic-noise,Psychic Noise,psychic,special,75
918,upper-hand,Upper Hand,fighting,physical,65
919,malignant-chain,Malignant Chain,poison,special,100
